,YEAR,TECHNOLOGY,TIMESLICE,FUEL,EMISSION,MODE_OF_OPERATION,REGION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedCostByTechnology,DiscountedOperationalCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
0,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,2.270592,,,,,,,
1,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,2.270592,,,,,,,,0.7567883135999999
2,2021.0,PWRBIOCRIXX01,S1D1,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,0.63072,,,,,,,,,
3,2021.0,PWRBIOCRIXX01,S1D1,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.2102189759999999,,,0.63072,,,,,,,,,,
4,2021.0,PWRBIOCRIXX01,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,0.63072,,,,,,0.2102189759999999,,,,,
5,2021.0,PWRBIOCRIXX01,S1D2,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,2.270592,,,,,,,
6,2021.0,PWRBIOCRIXX01,S1D2,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,2.270592,,,,,,,,0.7567883135999999
7,2021.0,PWRBIOCRIXX01,S1D2,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,0.63072,,,,,,,,,
8,2021.0,PWRBIOCRIXX01,S1D2,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.2102189759999999,,,0.63072,,,,,,,,,,
9,2021.0,PWRBIOCRIXX01,S1D2,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,0.63072,,,,,,0.2102189759999999,,,,,
10,2021.0,PWRBIOCRIXX01,S1D3,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,2.270592,,,,,,,
11,2021.0,PWRBIOCRIXX01,S1D3,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,2.270592,,,,,,,,0.7567883135999999
12,2021.0,PWRBIOCRIXX01,S1D3,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,0.63072,,,,,,,,,
13,2021.0,PWRBIOCRIXX01,S1D3,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.2102189759999999,,,0.63072,,,,,,,,,,
14,2021.0,PWRBIOCRIXX01,S1D3,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,0.63072,,,,,,0.2102189759999999,,,,,
15,2021.0,PWRBIOCRIXX01,,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,,0.630656928,,,,,,,,,,,,
16,2021.0,PWRBIOCRIXX01,,,,,GLOBAL,,,3.4,,,,,,,3.2417728034350137,3.2417728034350137,,,,3.4006307,,,,,,,,,,0.04,,0.630656928,,
17,2021.0,PWRGEOCRIXX01,S1D1,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,6.7484131,,,,,,,,,
18,2021.0,PWRGEOCRIXX01,S1D1,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,2.24924608623,,,6.7484131,,,,,,,,,,
19,2021.0,PWRGEOCRIXX01,S1D1,GEOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,6.7484131,,,,,,,
20,2021.0,PWRGEOCRIXX01,S1D1,GEOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,6.7484131,,,,,,,,2.24924608623
21,2021.0,PWRGEOCRIXX01,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,6.7484131,,,,,,2.24924608623,,,,,
22,2021.0,PWRGEOCRIXX01,S1D2,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,4.9801161,,,,,,,,,
