REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,PWRBIOCRIXX01,1,2021,0.31536
GLOBAL,S1D1,PWRGEOCRIXX01,1,2021,3.0794904
GLOBAL,S1D1,PWRHYDCRIXX01,1,2021,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2021,18.7772
GLOBAL,S1D1,PWRWONCRIXX01,1,2021,2.7352531
GLOBAL,S1D1,RNWBIOCRIXX,1,2021,1.135296
GLOBAL,S1D1,RNWGEOCRIXX,1,2021,3.0794904
GLOBAL,S1D1,RNWHYDCRIXX,1,2021,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2021,2.7352531
GLOBAL,S1D1,PWRBIOCRIXX01,1,2022,0.31536
GLOBAL,S1D1,PWRGEOCRIXX01,1,2022,2.93597745
GLOBAL,S1D1,PWRHYDCRIXX01,1,2022,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2022,19.8306
GLOBAL,S1D1,PWRWONCRIXX01,1,2022,3.932166
GLOBAL,S1D1,RNWBIOCRIXX,1,2022,1.135296
GLOBAL,S1D1,RNWGEOCRIXX,1,2022,2.93597745
GLOBAL,S1D1,RNWHYDCRIXX,1,2022,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2022,3.932166
GLOBAL,S1D1,PWRBIOCRIXX01,1,2023,0.31536
GLOBAL,S1D1,PWRGEOCRIXX01,1,2023,2.7373248
GLOBAL,S1D1,PWRHYDCRIXX01,1,2023,13.869862
GLOBAL,S1D1,PWRTRNCRIXX,1,2023,20.8886
GLOBAL,S1D1,PWRWONCRIXX01,1,2023,3.9660531
GLOBAL,S1D1,RNWBIOCRIXX,1,2023,1.135296
GLOBAL,S1D1,RNWGEOCRIXX,1,2023,2.7373248
GLOBAL,S1D1,RNWHYDCRIXX,1,2023,13.869862
GLOBAL,S1D1,RNWWONCRIXX,1,2023,3.9660531
GLOBAL,S1D1,PWRBIOCRIXX01,1,2024,0.31536
GLOBAL,S1D1,PWRGEOCRIXX01,1,2024,2.7373248
GLOBAL,S1D1,PWRHYDCRIXX01,1,2024,14.0297195
GLOBAL,S1D1,PWRTRNCRIXX,1,2024,21.942
GLOBAL,S1D1,PWRWONCRIXX01,1,2024,4.8595955
GLOBAL,S1D1,RNWBIOCRIXX,1,2024,1.135296
GLOBAL,S1D1,RNWGEOCRIXX,1,2024,2.7373248
GLOBAL,S1D1,RNWHYDCRIXX,1,2024,14.0297195
GLOBAL,S1D1,RNWWONCRIXX,1,2024,4.8595955
GLOBAL,S1D1,PWRBIOCRIXX01,1,2025,0.31536
GLOBAL,S1D1,PWRGEOCRIXX01,1,2025,2.7373248
GLOBAL,S1D1,PWRHYDCRIXX01,1,2025,14.1902755
GLOBAL,S1D1,PWRTRNCRIXX,1,2025,23.0
GLOBAL,S1D1,PWRWONCRIXX01,1,2025,5.75704
GLOBAL,S1D1,RNWBIOCRIXX,1,2025,1.135296
GLOBAL,S1D1,RNWGEOCRIXX,1,2025,2.7373248
GLOBAL,S1D1,RNWHYDCRIXX,1,2025,14.1902755
GLOBAL,S1D1,RNWWONCRIXX,1,2025,5.75704
GLOBAL,S1D1,PWRBIOCRIXX01,1,2026,0.31536
GLOBAL,S1D1,PWRHYDCRIXX01,1,2026,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2026,24.242
GLOBAL,S1D1,PWRWONCRIXX01,1,2026,9.6986565
GLOBAL,S1D1,RNWBIOCRIXX,1,2026,1.135296
GLOBAL,S1D1,RNWHYDCRIXX,1,2026,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2026,9.6986565
GLOBAL,S1D1,PWRBIOCRIXX01,1,2027,0.31536
GLOBAL,S1D1,PWRHYDCRIXX01,1,2027,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2027,25.4886
GLOBAL,S1D1,PWRWONCRIXX01,1,2027,12.5261435
GLOBAL,S1D1,RNWBIOCRIXX,1,2027,1.135296
GLOBAL,S1D1,RNWHYDCRIXX,1,2027,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2027,12.5261435
GLOBAL,S1D1,PWRBIOCRIXX01,1,2028,0.31536
GLOBAL,S1D1,PWRHYDCRIXX01,1,2028,14.2279835
GLOBAL,S1D1,PWRTRNCRIXX,1,2028,26.7306
GLOBAL,S1D1,PWRWONCRIXX01,1,2028,12.1872565
GLOBAL,S1D1,RNWBIOCRIXX,1,2028,1.135296
GLOBAL,S1D1,RNWHYDCRIXX,1,2028,14.2279835
GLOBAL,S1D1,RNWWONCRIXX,1,2028,12.1872565
GLOBAL,S1D1,PWRBIOCRIXX01,1,2029,0.31536
GLOBAL,S1D1,PWRHYDCRIXX01,1,2029,12.6470965
GLOBAL,S1D1,PWRTRNCRIXX,1,2029,27.9772
GLOBAL,S1D1,PWRWONCRIXX01,1,2029,15.0147435
GLOBAL,S1D1,RNWBIOCRIXX,1,2029,1.135296
GLOBAL,S1D1,RNWHYDCRIXX,1,2029,12.6470965
GLOBAL,S1D1,RNWWONCRIXX,1,2029,15.0147435
GLOBAL,S1D1,PWRBIOCRIXX01,1,2030,0.31536
