PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2023,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2024,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2025,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2026,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2027,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2028,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2029,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2030,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2031,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2032,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2033,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2034,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2035,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2036,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2037,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2038,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2039,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2040,,,,,,0.9
AvailabilityFactor,BAU,GLOBAL,PWRCOAMEXXX01,,,,2041,,,,,,0.9
