PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCGCRIXX00,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCGCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCGPANXX00,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCGPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOACRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROCGCRIXX00,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROCGCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROCGPANXX00,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROCGPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROILCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROILPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROTHCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWROTHPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRSDSCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRSDSPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRSPVCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRSPVPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRTRNCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRTRNPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRURNCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRURNPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWASCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWASPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWAVCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWAVPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWOFCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWOFPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWONCRIXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRWONPANXX01,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,TRNCRIXXPANXX,,,,,,,,,,31.536
