PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCostStorage,BAU,GLOBAL,,,,,2021,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2022,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2023,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2024,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2025,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2026,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2027,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2028,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2029,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2030,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2031,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2032,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2033,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2034,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2035,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2036,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2037,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2038,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2039,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2040,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2041,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2042,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2043,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2044,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2045,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2046,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2047,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2048,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2049,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2050,,,,,LDSCRIXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2021,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2022,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2023,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2024,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2025,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2026,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2027,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2028,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2029,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2030,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2031,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2032,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2033,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2034,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2035,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2036,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2037,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2038,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2039,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2040,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2041,,,,,LDSPANXX01,52694.44444444445
CapitalCostStorage,BAU,GLOBAL,,,,,2042,,,,,LDSPANXX01,52694.44444444445
