PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
DaySplit,BAU,,,,,,2021,,,,1,,0.0014
DaySplit,BAU,,,,,,2022,,,,1,,0.0014
DaySplit,BAU,,,,,,2023,,,,1,,0.0014
DaySplit,BAU,,,,,,2024,,,,1,,0.0014
DaySplit,BAU,,,,,,2025,,,,1,,0.0014
DaySplit,BAU,,,,,,2026,,,,1,,0.0014
DaySplit,BAU,,,,,,2027,,,,1,,0.0014
DaySplit,BAU,,,,,,2028,,,,1,,0.0014
DaySplit,BAU,,,,,,2029,,,,1,,0.0014
DaySplit,BAU,,,,,,2030,,,,1,,0.0014
DaySplit,BAU,,,,,,2031,,,,1,,0.0014
DaySplit,BAU,,,,,,2032,,,,1,,0.0014
DaySplit,BAU,,,,,,2033,,,,1,,0.0014
DaySplit,BAU,,,,,,2034,,,,1,,0.0014
DaySplit,BAU,,,,,,2035,,,,1,,0.0014
DaySplit,BAU,,,,,,2036,,,,1,,0.0014
DaySplit,BAU,,,,,,2037,,,,1,,0.0014
DaySplit,BAU,,,,,,2038,,,,1,,0.0014
DaySplit,BAU,,,,,,2039,,,,1,,0.0014
DaySplit,BAU,,,,,,2040,,,,1,,0.0014
DaySplit,BAU,,,,,,2041,,,,1,,0.0014
DaySplit,BAU,,,,,,2042,,,,1,,0.0014
DaySplit,BAU,,,,,,2043,,,,1,,0.0014
DaySplit,BAU,,,,,,2044,,,,1,,0.0014
DaySplit,BAU,,,,,,2045,,,,1,,0.0014
DaySplit,BAU,,,,,,2046,,,,1,,0.0014
DaySplit,BAU,,,,,,2047,,,,1,,0.0014
DaySplit,BAU,,,,,,2048,,,,1,,0.0014
DaySplit,BAU,,,,,,2049,,,,1,,0.0014
DaySplit,BAU,,,,,,2050,,,,1,,0.0014
DaySplit,BAU,,,,,,2021,,,,2,,0.0014
DaySplit,BAU,,,,,,2022,,,,2,,0.0014
DaySplit,BAU,,,,,,2023,,,,2,,0.0014
DaySplit,BAU,,,,,,2024,,,,2,,0.0014
DaySplit,BAU,,,,,,2025,,,,2,,0.0014
DaySplit,BAU,,,,,,2026,,,,2,,0.0014
DaySplit,BAU,,,,,,2027,,,,2,,0.0014
DaySplit,BAU,,,,,,2028,,,,2,,0.0014
DaySplit,BAU,,,,,,2029,,,,2,,0.0014
DaySplit,BAU,,,,,,2030,,,,2,,0.0014
DaySplit,BAU,,,,,,2031,,,,2,,0.0014
DaySplit,BAU,,,,,,2032,,,,2,,0.0014
DaySplit,BAU,,,,,,2033,,,,2,,0.0014
DaySplit,BAU,,,,,,2034,,,,2,,0.0014
DaySplit,BAU,,,,,,2035,,,,2,,0.0014
DaySplit,BAU,,,,,,2036,,,,2,,0.0014
DaySplit,BAU,,,,,,2037,,,,2,,0.0014
DaySplit,BAU,,,,,,2038,,,,2,,0.0014
DaySplit,BAU,,,,,,2039,,,,2,,0.0014
DaySplit,BAU,,,,,,2040,,,,2,,0.0014
DaySplit,BAU,,,,,,2041,,,,2,,0.0014
DaySplit,BAU,,,,,,2042,,,,2,,0.0014
DaySplit,BAU,,,,,,2043,,,,2,,0.0014
DaySplit,BAU,,,,,,2044,,,,2,,0.0014
DaySplit,BAU,,,,,,2045,,,,2,,0.0014
DaySplit,BAU,,,,,,2046,,,,2,,0.0014
DaySplit,BAU,,,,,,2047,,,,2,,0.0014
DaySplit,BAU,,,,,,2048,,,,2,,0.0014
DaySplit,BAU,,,,,,2049,,,,2,,0.0014
DaySplit,BAU,,,,,,2050,,,,2,,0.0014
