PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,IMPPURDSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMPPURGSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMPCOA,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMPLPG,,,,,,,,,,10.0
OperationalLife,BAU,CR,IMPFOI,,,,,,,,,,1.0
OperationalLife,BAU,CR,PROFIR,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMPKJF,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMPCOK,,,,,,,,,,1.0
OperationalLife,BAU,CR,PROINDWAS,,,,,,,,,,1.0
OperationalLife,BAU,CR,IMPNGS,,,,,,,,,,1.0
OperationalLife,BAU,CR,PROSUG,,,,,,,,,,1.0
OperationalLife,BAU,CR,PROBMS,,,,,,,,,,1.0
OperationalLife,BAU,CR,PWRGEO,,,,,,,,,,30.0
OperationalLife,BAU,CR,PWRHYDDAM,,,,,,,,,,40.0
OperationalLife,BAU,CR,PWRHYDROR,,,,,,,,,,40.0
OperationalLife,BAU,CR,PWRSPVTRN,,,,,,,,,,25.0
OperationalLife,BAU,CR,PWRSPVDTR,,,,,,,,,,20.0
OperationalLife,BAU,CR,PWRWNONS,,,,,,,,,,25.0
OperationalLife,BAU,CR,PP_WNDOFS,,,,,,,,,,25.0
OperationalLife,BAU,CR,PP_SPV_DG,,,,,,,,,,20.0
OperationalLife,BAU,CR,PP_SPV_US_H2,,,,,,,,,,20.0
OperationalLife,BAU,CR,PP_WND_US_H2,,,,,,,,,,20.0
OperationalLife,BAU,CR,PP_WND_OF_H2,,,,,,,,,,20.0
OperationalLife,BAU,CR,ELE_TRN,,,,,,,,,,60.0
OperationalLife,BAU,CR,ELE_DTR,,,,,,,,,,50.0
OperationalLife,BAU,CR,NGS_DTR,,,,,,,,,,1.0
OperationalLife,BAU,CR,PWRSUG,,,,,,,,,,1.0
OperationalLife,BAU,CR,PWRBMS,,,,,,,,,,25.0
OperationalLife,BAU,CR,PWRFOI,,,,,,,,,,35.0
OperationalLife,BAU,CR,PWRDSL,,,,,,,,,,35.0
OperationalLife,BAU,CR,PROBIODSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,BLEND_DSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,PROETA,,,,,,,,,,1.0
OperationalLife,BAU,CR,BLEND_GSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,HYDPROELEISO,,,,,,,,,,20.0
OperationalLife,BAU,CR,HYDPROELEGRI,,,,,,,,,,20.0
OperationalLife,BAU,CR,HYDPROBIO,,,,,,,,,,20.0
OperationalLife,BAU,CR,HYDPRONGS,,,,,,,,,,20.0
OperationalLife,BAU,CR,HYD_DISTR,,,,,,,,,,15.0
OperationalLife,BAU,CR,T5PURDSLAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5PURGSLAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5KJFAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5LPGAGR,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5PURDSLCOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELECOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5FOICOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5PURGSLCOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5PURDSLIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5DSLIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5FOIIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5PURGSLIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5GSLIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5HYDIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5COKIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5LPGIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5SUGIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5BMSIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5COAIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5IWAIND,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELERES,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5LPGRES,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEEXP,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5FIREXP,,,,,,,,,,1.0
OperationalLife,BAU,CR,T5ELEPUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_PUB,,,,,,,,,,15.0
OperationalLife,BAU,CR,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_PRI,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_HEA,,,,,,,,,,15.0
OperationalLife,BAU,CR,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4ELE_LIG,,,,,,,,,,15.0
OperationalLife,BAU,CR,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,T4LPG_LIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNMICHYBDSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNMICHYD,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNMICELE,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNMICDSL,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNMICLPG,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNBUSHYD,,,,,,,,,,12.0
OperationalLife,BAU,CR,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNBUSDSL,,,,,,,,,,14.0
OperationalLife,BAU,CR,TRNBUSLPG,,,,,,,,,,14.0
OperationalLife,BAU,CR,TRNTAXHYBDSL,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNTAXELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNTAXDSL,,,,,,,,,,9.0
OperationalLife,BAU,CR,TRNTAXHYBGSL,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNTAXGSL,,,,,,,,,,9.0
OperationalLife,BAU,CR,TRNPASRAIHYBDSL,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNPASRAIELE,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNPASRAIDSL,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNMOTELE,,,,,,,,,,12.0
OperationalLife,BAU,CR,TRNMOTGSL,,,,,,,,,,7.0
OperationalLife,BAU,CR,TRNSEDELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNSEDHYBGSL,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNSEDGSL,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRNSUVHYBDSL,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNSUVELE,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNSUVDSL,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRNSUVHYBGSL,,,,,,,,,,16.0
OperationalLife,BAU,CR,TRNSUVGSL,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRNSUVLPG,,,,,,,,,,17.0
OperationalLife,BAU,CR,TRNFREHEAHYBDSL,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNFREHEAHYD,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNFREHEAELE,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNFREHEADSL,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNFREHEALPG,,,,,,,,,,20.0
OperationalLife,BAU,CR,TRNFRELIGHYBDSL,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRNFRELIGELE,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRNFRELIGDSL,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRNFRELIGHYBGSL,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRNFRELIGGSL,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRNFRELIGLPG,,,,,,,,,,18.0
OperationalLife,BAU,CR,TRNFRERAIHYBDSL,,,,,,,,,,50.0
OperationalLife,BAU,CR,TRNFRERAIELE,,,,,,,,,,50.0
OperationalLife,BAU,CR,TRNFRERAIDSL,,,,,,,,,,50.0
OperationalLife,BAU,CR,TRNMIC,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNBUS,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNTAX,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNPASRAI,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNMOT,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNSED,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNSUV,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNFREHEA,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNFRELIG,,,,,,,,,,1.0
OperationalLife,BAU,CR,TRNFRERAI,,,,,,,,,,1.0
