PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSARGXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSBOLXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSBRAXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSCHLXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSCOLXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSCRIXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSDOMXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSECUXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSGTMXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSHNDXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSHTIXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSJAMXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSMEXXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSNICXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSPANXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSPERXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSPRYXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSSLVXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSURYXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSARGXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSBOLXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSBRAXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSCHLXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSCOLXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSCRIXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSDOMXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSECUXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSGTMXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSHNDXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSHTIXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSJAMXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSMEXXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSNICXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSPANXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSPERXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSPRYXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSSLVXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSURYXX01,30
