PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualStorageCapacity,BAU,GLOBAL,,,,,2023,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2024,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2025,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2026,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2027,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2028,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2029,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2030,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2031,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2032,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2033,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2034,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2035,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2036,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2037,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2038,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2039,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2040,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2041,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2042,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2043,,,,,LDSARGXX01,0.03506
ResidualStorageCapacity,BAU,GLOBAL,,,,,2044,,,,,LDSARGXX01,0.027
ResidualStorageCapacity,BAU,GLOBAL,,,,,2045,,,,,LDSARGXX01,0.027
ResidualStorageCapacity,BAU,GLOBAL,,,,,2046,,,,,LDSARGXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2047,,,,,LDSARGXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2048,,,,,LDSARGXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2049,,,,,LDSARGXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2050,,,,,LDSARGXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2023,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2024,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2025,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2026,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2027,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2028,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2029,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2030,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2031,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2032,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2033,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2034,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2035,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2036,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2037,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2038,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2039,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2040,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2041,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2042,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2043,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2044,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2045,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2046,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2047,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2048,,,,,LDSCHLXX01,0.00111
ResidualStorageCapacity,BAU,GLOBAL,,,,,2049,,,,,LDSCHLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2050,,,,,LDSCHLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2023,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2024,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2025,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2026,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2027,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2028,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2029,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2030,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2031,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2032,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2033,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2034,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2035,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2036,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2037,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2038,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2039,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2040,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2041,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2042,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2043,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2044,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2045,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2046,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2047,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2048,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2049,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2050,,,,,SDSBOLXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2023,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2024,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2025,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2026,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2027,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2028,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2029,,,,,SDSCHLXX01,0.00031
ResidualStorageCapacity,BAU,GLOBAL,,,,,2030,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2031,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2032,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2033,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2034,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2035,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2036,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2037,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2038,,,,,SDSCHLXX01,0.00932
ResidualStorageCapacity,BAU,GLOBAL,,,,,2039,,,,,SDSCHLXX01,0.00928
ResidualStorageCapacity,BAU,GLOBAL,,,,,2040,,,,,SDSCHLXX01,0.00928
ResidualStorageCapacity,BAU,GLOBAL,,,,,2041,,,,,SDSCHLXX01,0.00928
ResidualStorageCapacity,BAU,GLOBAL,,,,,2042,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2043,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2044,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2045,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2046,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2047,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2048,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2049,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2050,,,,,SDSCHLXX01,0.00901
ResidualStorageCapacity,BAU,GLOBAL,,,,,2023,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2024,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2025,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2026,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2027,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2028,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2029,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2030,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2031,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2032,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2033,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2034,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2035,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2036,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2037,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2038,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2039,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2040,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2041,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2042,,,,,SDSHTIXX01,0.0
ResidualStorageCapacity,BAU,GLOBAL,,,,,2043,,,,,SDSHTIXX01,0.0
