PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2021,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2022,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2023,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2024,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2025,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2026,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2027,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2028,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2029,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2030,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2031,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2032,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2033,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2034,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2035,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2036,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2037,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2038,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2039,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2040,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2041,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2042,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2043,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2044,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2045,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2046,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2047,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2048,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2049,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2050,S1D1,,,,,0.23
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2021,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2022,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2023,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2024,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2025,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2026,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2027,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2028,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2029,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2030,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2031,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2032,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2033,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2034,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2035,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2036,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2037,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2038,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2039,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2040,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2041,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2042,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2043,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2044,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2045,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2046,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2047,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2048,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2049,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCPANXX02,,,2050,S1D1,,,,,0.21
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2021,S1D2,,,,,0.27
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2022,S1D2,,,,,0.27
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2023,S1D2,,,,,0.27
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2024,S1D2,,,,,0.27
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2025,S1D2,,,,,0.27
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2026,S1D2,,,,,0.27
SpecifiedDemandProfile,BAU,GLOBAL,,ELCCRIXX02,,,2027,S1D2,,,,,0.27
