PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TechnologyToStorage,BAU,GLOBAL,PWRLDSARGXX01,,,1,,,,,,LDSARGXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSARGXX01,,,2,,,,,,LDSARGXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSBOLXX01,,,1,,,,,,LDSBOLXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSBOLXX01,,,2,,,,,,LDSBOLXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSCHLXX01,,,1,,,,,,LDSCHLXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSCHLXX01,,,2,,,,,,LDSCHLXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSCOLXX01,,,1,,,,,,LDSCOLXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSCOLXX01,,,2,,,,,,LDSCOLXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSCRIXX01,,,1,,,,,,LDSCRIXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSCRIXX01,,,2,,,,,,LDSCRIXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSDOMXX01,,,1,,,,,,LDSDOMXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSDOMXX01,,,2,,,,,,LDSDOMXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSECUXX01,,,1,,,,,,LDSECUXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSECUXX01,,,2,,,,,,LDSECUXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSGTMXX01,,,1,,,,,,LDSGTMXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSGTMXX01,,,2,,,,,,LDSGTMXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSHNDXX01,,,1,,,,,,LDSHNDXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSHNDXX01,,,2,,,,,,LDSHNDXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSHTIXX01,,,1,,,,,,LDSHTIXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSHTIXX01,,,2,,,,,,LDSHTIXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSJAMXX01,,,1,,,,,,LDSJAMXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSJAMXX01,,,2,,,,,,LDSJAMXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSMEXXX01,,,1,,,,,,LDSMEXXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSMEXXX01,,,2,,,,,,LDSMEXXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSNICXX01,,,1,,,,,,LDSNICXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSNICXX01,,,2,,,,,,LDSNICXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSPANXX01,,,1,,,,,,LDSPANXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSPANXX01,,,2,,,,,,LDSPANXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSPERXX01,,,1,,,,,,LDSPERXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSPERXX01,,,2,,,,,,LDSPERXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSPRYXX01,,,1,,,,,,LDSPRYXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSPRYXX01,,,2,,,,,,LDSPRYXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSSLVXX01,,,1,,,,,,LDSSLVXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSSLVXX01,,,2,,,,,,LDSSLVXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSURYXX01,,,1,,,,,,LDSURYXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSURYXX01,,,2,,,,,,LDSURYXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSARGXX01,,,1,,,,,,SDSARGXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSARGXX01,,,2,,,,,,SDSARGXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSBOLXX01,,,1,,,,,,SDSBOLXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSBOLXX01,,,2,,,,,,SDSBOLXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSCHLXX01,,,1,,,,,,SDSCHLXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSCHLXX01,,,2,,,,,,SDSCHLXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSCOLXX01,,,1,,,,,,SDSCOLXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSCOLXX01,,,2,,,,,,SDSCOLXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSCRIXX01,,,1,,,,,,SDSCRIXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSCRIXX01,,,2,,,,,,SDSCRIXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSDOMXX01,,,1,,,,,,SDSDOMXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSDOMXX01,,,2,,,,,,SDSDOMXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSECUXX01,,,1,,,,,,SDSECUXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSECUXX01,,,2,,,,,,SDSECUXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSGTMXX01,,,1,,,,,,SDSGTMXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSGTMXX01,,,2,,,,,,SDSGTMXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSHNDXX01,,,1,,,,,,SDSHNDXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSHNDXX01,,,2,,,,,,SDSHNDXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSHTIXX01,,,1,,,,,,SDSHTIXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSHTIXX01,,,2,,,,,,SDSHTIXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSJAMXX01,,,1,,,,,,SDSJAMXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSJAMXX01,,,2,,,,,,SDSJAMXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSMEXXX01,,,1,,,,,,SDSMEXXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSMEXXX01,,,2,,,,,,SDSMEXXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSNICXX01,,,1,,,,,,SDSNICXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSNICXX01,,,2,,,,,,SDSNICXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSPANXX01,,,1,,,,,,SDSPANXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSPANXX01,,,2,,,,,,SDSPANXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSPERXX01,,,1,,,,,,SDSPERXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSPERXX01,,,2,,,,,,SDSPERXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSPRYXX01,,,1,,,,,,SDSPRYXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSPRYXX01,,,2,,,,,,SDSPRYXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSSLVXX01,,,1,,,,,,SDSSLVXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSSLVXX01,,,2,,,,,,SDSSLVXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSURYXX01,,,1,,,,,,SDSURYXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSURYXX01,,,2,,,,,,SDSURYXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRLDSBRAXX01,,,1,,,,,,LDSBRAXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRLDSBRAXX01,,,2,,,,,,LDSBRAXX01,0
TechnologyToStorage,BAU,GLOBAL,PWRSDSBRAXX01,,,1,,,,,,SDSBRAXX01,1
TechnologyToStorage,BAU,GLOBAL,PWRSDSBRAXX01,,,2,,,,,,SDSBRAXX01,0
