PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2018,,,,,,0.4006
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2019,,,,,,0.4218
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2020,,,,,,0.39
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2021,,,,,,0.4403
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2022,,,,,,0.4684
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2023,,,,,,0.4753
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2024,,,,,,0.4906
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2025,,,,,,0.506
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2026,,,,,,0.5204
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2027,,,,,,0.5351
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2028,,,,,,0.5506
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2029,,,,,,0.5655
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2030,,,,,,0.5803
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2031,,,,,,0.5937
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2032,,,,,,0.6073
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2033,,,,,,0.6212
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2034,,,,,,0.6353
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2035,,,,,,0.6496
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2036,,,,,,0.6617
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2037,,,,,,0.674
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2038,,,,,,0.6864
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2039,,,,,,0.699
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2040,,,,,,0.7118
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2041,,,,,,0.7222
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2042,,,,,,0.7327
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2043,,,,,,0.7433
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2044,,,,,,0.754
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2045,,,,,,0.7648
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2046,,,,,,0.7732
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2047,,,,,,0.7817
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2048,,,,,,0.7902
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2049,,,,,,0.7989
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2050,,,,,,0.8076
TotalAnnualMaxCapacity,BAU,CR,TRNBUS,,,,2018,,,,,,0.4726
TotalAnnualMaxCapacity,BAU,CR,TRNBUS,,,,2019,,,,,,0.4977
TotalAnnualMaxCapacity,BAU,CR,TRNBUS,,,,2020,,,,,,0.4601
