PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2023,,,,,,51.3142
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2024,,,,,,51.3457
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2025,,,,,,51.1923
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2026,,,,,,50.8539
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2027,,,,,,51.0319
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2028,,,,,,51.0913
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2029,,,,,,51.0319
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2030,,,,,,50.8539
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2031,,,,,,51.1078
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2032,,,,,,51.2771
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2033,,,,,,51.3618
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2034,,,,,,51.3618
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2035,,,,,,51.2771
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2036,,,,,,51.1078
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2037,,,,,,50.8539
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2038,,,,,,52.0343
TotalTechnologyAnnualActivityLowerLimit,BAU,GLOBAL,PWRCOAMEXXX01,,,,2039,,,,,,53.2422
