PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,NDCcond,CR,IMPPURDSL,,,,2018,,,,,,2.2389
FixedCost,NDCcond,CR,IMPPURDSL,,,,2019,,,,,,2.2528
FixedCost,NDCcond,CR,IMPPURDSL,,,,2020,,,,,,2.4293
FixedCost,NDCcond,CR,IMPPURDSL,,,,2021,,,,,,2.4755
FixedCost,NDCcond,CR,IMPPURDSL,,,,2022,,,,,,2.5225
FixedCost,NDCcond,CR,IMPPURDSL,,,,2023,,,,,,2.5704
FixedCost,NDCcond,CR,IMPPURDSL,,,,2024,,,,,,2.6192
FixedCost,NDCcond,CR,IMPPURDSL,,,,2025,,,,,,2.669
FixedCost,NDCcond,CR,IMPPURDSL,,,,2026,,,,,,2.7197
FixedCost,NDCcond,CR,IMPPURDSL,,,,2027,,,,,,2.7714
FixedCost,NDCcond,CR,IMPPURDSL,,,,2028,,,,,,2.8241
FixedCost,NDCcond,CR,IMPPURDSL,,,,2029,,,,,,2.8778
FixedCost,NDCcond,CR,IMPPURDSL,,,,2030,,,,,,2.9325
FixedCost,NDCcond,CR,IMPPURDSL,,,,2031,,,,,,2.9882
FixedCost,NDCcond,CR,IMPPURDSL,,,,2032,,,,,,3.045
FixedCost,NDCcond,CR,IMPPURDSL,,,,2033,,,,,,3.1029
FixedCost,NDCcond,CR,IMPPURDSL,,,,2034,,,,,,3.1619
FixedCost,NDCcond,CR,IMPPURDSL,,,,2035,,,,,,3.222
FixedCost,NDCcond,CR,IMPPURDSL,,,,2036,,,,,,3.2832
FixedCost,NDCcond,CR,IMPPURDSL,,,,2037,,,,,,3.3456
FixedCost,NDCcond,CR,IMPPURDSL,,,,2038,,,,,,3.4092
FixedCost,NDCcond,CR,IMPPURDSL,,,,2039,,,,,,3.474
FixedCost,NDCcond,CR,IMPPURDSL,,,,2040,,,,,,3.54
FixedCost,NDCcond,CR,IMPPURDSL,,,,2041,,,,,,3.6073
FixedCost,NDCcond,CR,IMPPURDSL,,,,2042,,,,,,3.6758
FixedCost,NDCcond,CR,IMPPURDSL,,,,2043,,,,,,3.7456
FixedCost,NDCcond,CR,IMPPURDSL,,,,2044,,,,,,3.8168
FixedCost,NDCcond,CR,IMPPURDSL,,,,2045,,,,,,3.8893
FixedCost,NDCcond,CR,IMPPURDSL,,,,2046,,,,,,3.9632
FixedCost,NDCcond,CR,IMPPURDSL,,,,2047,,,,,,4.0385
FixedCost,NDCcond,CR,IMPPURDSL,,,,2048,,,,,,4.1152
FixedCost,NDCcond,CR,IMPPURDSL,,,,2049,,,,,,4.1934
FixedCost,NDCcond,CR,IMPPURDSL,,,,2050,,,,,,4.2731
FixedCost,NDCcond,CR,IMPPURGSL,,,,2018,,,,,,2.6482
FixedCost,NDCcond,CR,IMPPURGSL,,,,2019,,,,,,2.6593
FixedCost,NDCcond,CR,IMPPURGSL,,,,2020,,,,,,2.8488
FixedCost,NDCcond,CR,IMPPURGSL,,,,2021,,,,,,2.9029
FixedCost,NDCcond,CR,IMPPURGSL,,,,2022,,,,,,2.9581
FixedCost,NDCcond,CR,IMPPURGSL,,,,2023,,,,,,3.0143
FixedCost,NDCcond,CR,IMPPURGSL,,,,2024,,,,,,3.0716
FixedCost,NDCcond,CR,IMPPURGSL,,,,2025,,,,,,3.13
FixedCost,NDCcond,CR,IMPPURGSL,,,,2026,,,,,,3.1895
FixedCost,NDCcond,CR,IMPPURGSL,,,,2027,,,,,,3.2501
FixedCost,NDCcond,CR,IMPPURGSL,,,,2028,,,,,,3.3119
FixedCost,NDCcond,CR,IMPPURGSL,,,,2029,,,,,,3.3748
FixedCost,NDCcond,CR,IMPPURGSL,,,,2030,,,,,,3.4389
FixedCost,NDCcond,CR,IMPPURGSL,,,,2031,,,,,,3.5042
FixedCost,NDCcond,CR,IMPPURGSL,,,,2032,,,,,,3.5708
FixedCost,NDCcond,CR,IMPPURGSL,,,,2033,,,,,,3.6386
FixedCost,NDCcond,CR,IMPPURGSL,,,,2034,,,,,,3.7077
FixedCost,NDCcond,CR,IMPPURGSL,,,,2035,,,,,,3.7781
FixedCost,NDCcond,CR,IMPPURGSL,,,,2036,,,,,,3.8499
FixedCost,NDCcond,CR,IMPPURGSL,,,,2037,,,,,,3.923
FixedCost,NDCcond,CR,IMPPURGSL,,,,2038,,,,,,3.9975
FixedCost,NDCcond,CR,IMPPURGSL,,,,2039,,,,,,4.0735
FixedCost,NDCcond,CR,IMPPURGSL,,,,2040,,,,,,4.1509
FixedCost,NDCcond,CR,IMPPURGSL,,,,2041,,,,,,4.2298
FixedCost,NDCcond,CR,IMPPURGSL,,,,2042,,,,,,4.3102
FixedCost,NDCcond,CR,IMPPURGSL,,,,2043,,,,,,4.3921
FixedCost,NDCcond,CR,IMPPURGSL,,,,2044,,,,,,4.4755
FixedCost,NDCcond,CR,IMPPURGSL,,,,2045,,,,,,4.5605
FixedCost,NDCcond,CR,IMPPURGSL,,,,2046,,,,,,4.6471
FixedCost,NDCcond,CR,IMPPURGSL,,,,2047,,,,,,4.7354
FixedCost,NDCcond,CR,IMPPURGSL,,,,2048,,,,,,4.8254
FixedCost,NDCcond,CR,IMPPURGSL,,,,2049,,,,,,4.9171
FixedCost,NDCcond,CR,IMPPURGSL,,,,2050,,,,,,5.0105
FixedCost,NDCcond,CR,IMPLPG,,,,2018,,,,,,3.4322
FixedCost,NDCcond,CR,IMPLPG,,,,2019,,,,,,3.4501
FixedCost,NDCcond,CR,IMPLPG,,,,2020,,,,,,3.7082
FixedCost,NDCcond,CR,IMPLPG,,,,2021,,,,,,3.7787
FixedCost,NDCcond,CR,IMPLPG,,,,2022,,,,,,3.8505
FixedCost,NDCcond,CR,IMPLPG,,,,2023,,,,,,3.9237
FixedCost,NDCcond,CR,IMPLPG,,,,2024,,,,,,3.9983
FixedCost,NDCcond,CR,IMPLPG,,,,2025,,,,,,4.0743
FixedCost,NDCcond,CR,IMPLPG,,,,2026,,,,,,4.1517
FixedCost,NDCcond,CR,IMPLPG,,,,2027,,,,,,4.2306
FixedCost,NDCcond,CR,IMPLPG,,,,2028,,,,,,4.311
FixedCost,NDCcond,CR,IMPLPG,,,,2029,,,,,,4.3929
FixedCost,NDCcond,CR,IMPLPG,,,,2030,,,,,,4.4764
FixedCost,NDCcond,CR,IMPLPG,,,,2031,,,,,,4.5615
FixedCost,NDCcond,CR,IMPLPG,,,,2032,,,,,,4.6482
FixedCost,NDCcond,CR,IMPLPG,,,,2033,,,,,,4.7365
FixedCost,NDCcond,CR,IMPLPG,,,,2034,,,,,,4.8265
