PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCcond,CR,IMPPURDSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,IMPPURGSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,IMPCOA,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,IMPLPG,,,,,,,,,,10.0
OperationalLife,NDCcond,CR,IMPFOI,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PROFIR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,IMPKJF,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,IMPCOK,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PROINDWAS,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,IMPNGS,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PROSUG,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PROBMS,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PWRGEO,,,,,,,,,,30.0
OperationalLife,NDCcond,CR,PWRHYDDAM,,,,,,,,,,40.0
OperationalLife,NDCcond,CR,PWRHYDROR,,,,,,,,,,40.0
OperationalLife,NDCcond,CR,PWRSPVTRN,,,,,,,,,,25.0
OperationalLife,NDCcond,CR,PWRSPVDTR,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,PWRWNONS,,,,,,,,,,25.0
OperationalLife,NDCcond,CR,PP_WNDOFS,,,,,,,,,,25.0
OperationalLife,NDCcond,CR,PP_SPV_DG,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,PP_SPV_US_H2,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,PP_WND_US_H2,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,PP_WND_OF_H2,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,ELE_TRN,,,,,,,,,,60.0
OperationalLife,NDCcond,CR,ELE_DTR,,,,,,,,,,50.0
OperationalLife,NDCcond,CR,NGS_DTR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PWRSUG,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PWRBMS,,,,,,,,,,25.0
OperationalLife,NDCcond,CR,PWRFOI,,,,,,,,,,35.0
OperationalLife,NDCcond,CR,PWRDSL,,,,,,,,,,35.0
OperationalLife,NDCcond,CR,PROBIODSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,BLEND_DSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,PROETA,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,BLEND_GSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,HYDPROELEISO,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,HYDPROELEGRI,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,HYDPROBIO,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,HYDPRONGS,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,HYD_DISTR,,,,,,,,,,15.0
OperationalLife,NDCcond,CR,T5PURDSLAGR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5ELEAGR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5PURGSLAGR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5KJFAGR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5LPGAGR,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5PURDSLCOM,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5ELECOM,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5FOICOM,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5PURGSLCOM,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5LPGCOM,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5PURDSLIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5DSLIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5ELEIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5FOIIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5PURGSLIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5GSLIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5HYDIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5COKIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5LPGIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5SUGIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5BMSIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5COAIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5IWAIND,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5ELERES,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5LPGRES,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5ELEEXP,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5FIREXP,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T5ELEPUB,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4DSL_PUB,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4ELE_PUB,,,,,,,,,,15.0
OperationalLife,NDCcond,CR,T4HYD_PUB,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4LPG_PUB,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4GSL_PUB,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4ELE_PRI,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4GSL_PRI,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4DSL_PRI,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4LPG_PRI,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4DSL_HEA,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4ELE_HEA,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4HYD_HEA,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4LPG_HEA,,,,,,,,,,15.0
OperationalLife,NDCcond,CR,T4DSL_LIG,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4ELE_LIG,,,,,,,,,,15.0
OperationalLife,NDCcond,CR,T4GSL_LIG,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,T4LPG_LIG,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,TRNMICHYBDSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,TRNMICHYD,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,TRNMICELE,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,TRNMICDSL,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,TRNMICLPG,,,,,,,,,,1.0
OperationalLife,NDCcond,CR,TRNBUSHYBDSL,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNBUSHYD,,,,,,,,,,12.0
OperationalLife,NDCcond,CR,TRNBUSELE,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNBUSDSL,,,,,,,,,,14.0
OperationalLife,NDCcond,CR,TRNBUSLPG,,,,,,,,,,14.0
OperationalLife,NDCcond,CR,TRNTAXHYBDSL,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNTAXELE,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNTAXDSL,,,,,,,,,,9.0
OperationalLife,NDCcond,CR,TRNTAXHYBGSL,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNTAXGSL,,,,,,,,,,9.0
OperationalLife,NDCcond,CR,TRNPASRAIHYBDSL,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNPASRAIELE,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNPASRAIDSL,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNMOTELE,,,,,,,,,,12.0
OperationalLife,NDCcond,CR,TRNMOTGSL,,,,,,,,,,7.0
OperationalLife,NDCcond,CR,TRNSEDELE,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNSEDHYBGSL,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNSEDGSL,,,,,,,,,,17.0
OperationalLife,NDCcond,CR,TRNSUVHYBDSL,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNSUVELE,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNSUVDSL,,,,,,,,,,17.0
OperationalLife,NDCcond,CR,TRNSUVHYBGSL,,,,,,,,,,16.0
OperationalLife,NDCcond,CR,TRNSUVGSL,,,,,,,,,,17.0
OperationalLife,NDCcond,CR,TRNSUVLPG,,,,,,,,,,17.0
OperationalLife,NDCcond,CR,TRNFREHEAHYBDSL,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNFREHEAHYD,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNFREHEAELE,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNFREHEADSL,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNFREHEALPG,,,,,,,,,,20.0
OperationalLife,NDCcond,CR,TRNFRELIGHYBDSL,,,,,,,,,,18.0
