REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBCKARGXX,1.0
GLOBAL,PWRBCKBOLXX,1.0
GLOBAL,PWRBCKBRAXX,1.0
GLOBAL,PWRBCKCHLXX,1.0
GLOBAL,PWRBCKCOLXX,1.0
GLOBAL,PWRBCKCRIXX,1.0
GLOBAL,PWRBCKDOMXX,1.0
GLOBAL,PWRBCKECUXX,1.0
GLOBAL,PWRBCKGTMXX,1.0
GLOBAL,PWRBCKHNDXX,1.0
GLOBAL,PWRBCKHTIXX,1.0
GLOBAL,PWRBCKJAMXX,1.0
GLOBAL,PWRBCKMEXXX,1.0
GLOBAL,PWRBCKNICXX,1.0
GLOBAL,PWRBCKPANXX,1.0
GLOBAL,PWRBCKPERXX,1.0
GLOBAL,PWRBCKPRYXX,1.0
GLOBAL,PWRBCKSLVXX,1.0
GLOBAL,PWRBCKURYXX,1.0
GLOBAL,PWRBIOARGXX01,30.0
GLOBAL,PWRBIOBOLXX01,30.0
GLOBAL,PWRBIOBRAXX01,30.0
GLOBAL,PWRBIOCHLXX01,30.0
GLOBAL,PWRBIOCOLXX01,30.0
GLOBAL,PWRBIOCRIXX01,30.0
GLOBAL,PWRBIODOMXX01,30.0
GLOBAL,PWRBIOECUXX01,30.0
GLOBAL,PWRBIOGTMXX01,30.0
GLOBAL,PWRBIOHNDXX01,30.0
GLOBAL,PWRBIOHTIXX01,30.0
GLOBAL,PWRBIOJAMXX01,30.0
GLOBAL,PWRBIOMEXXX01,30.0
GLOBAL,PWRBIONICXX01,30.0
GLOBAL,PWRBIOPANXX01,30.0
GLOBAL,PWRBIOPERXX01,30.0
GLOBAL,PWRBIOPRYXX01,30.0
GLOBAL,PWRBIOSLVXX01,30.0
GLOBAL,PWRBIOURYXX01,30.0
GLOBAL,PWRCCGARGXX00,30.0
GLOBAL,PWRCCGARGXX01,30.0
GLOBAL,PWRCCGBOLXX00,30.0
GLOBAL,PWRCCGBOLXX01,30.0
GLOBAL,PWRCCGBRAXX00,30.0
GLOBAL,PWRCCGBRAXX01,30.0
GLOBAL,PWRCCGCHLXX00,30.0
GLOBAL,PWRCCGCHLXX01,30.0
GLOBAL,PWRCCGCOLXX00,30.0
GLOBAL,PWRCCGCOLXX01,30.0
GLOBAL,PWRCCGCRIXX00,30.0
GLOBAL,PWRCCGCRIXX01,30.0
GLOBAL,PWRCCGDOMXX00,30.0
GLOBAL,PWRCCGDOMXX01,30.0
GLOBAL,PWRCCGECUXX00,30.0
GLOBAL,PWRCCGECUXX01,30.0
GLOBAL,PWRCCGGTMXX00,30.0
GLOBAL,PWRCCGGTMXX01,30.0
GLOBAL,PWRCCGHNDXX00,30.0
GLOBAL,PWRCCGHNDXX01,30.0
GLOBAL,PWRCCGHTIXX00,30.0
GLOBAL,PWRCCGHTIXX01,30.0
GLOBAL,PWRCCGJAMXX00,30.0
GLOBAL,PWRCCGJAMXX01,30.0
GLOBAL,PWRCCGMEXXX00,30.0
GLOBAL,PWRCCGMEXXX01,30.0
GLOBAL,PWRCCGNICXX00,30.0
GLOBAL,PWRCCGNICXX01,30.0
GLOBAL,PWRCCGPANXX00,30.0
GLOBAL,PWRCCGPANXX01,30.0
GLOBAL,PWRCCGPERXX00,30.0
GLOBAL,PWRCCGPERXX01,30.0
GLOBAL,PWRCCGPRYXX00,30.0
GLOBAL,PWRCCGPRYXX01,30.0
GLOBAL,PWRCCGSLVXX00,30.0
GLOBAL,PWRCCGSLVXX01,30.0
GLOBAL,PWRCCGURYXX00,30.0
GLOBAL,PWRCCGURYXX01,30.0
GLOBAL,PWRCCSARGXX01,30.0
GLOBAL,PWRCCSBOLXX01,30.0
GLOBAL,PWRCCSBRAXX01,30.0
GLOBAL,PWRCCSCHLXX01,30.0
GLOBAL,PWRCCSCOLXX01,30.0
GLOBAL,PWRCCSCRIXX01,30.0
GLOBAL,PWRCCSDOMXX01,30.0
GLOBAL,PWRCCSECUXX01,30.0
GLOBAL,PWRCCSGTMXX01,30.0
GLOBAL,PWRCCSHNDXX01,30.0
GLOBAL,PWRCCSHTIXX01,30.0
GLOBAL,PWRCCSJAMXX01,30.0
GLOBAL,PWRCCSMEXXX01,30.0
GLOBAL,PWRCCSNICXX01,30.0
GLOBAL,PWRCCSPANXX01,30.0
GLOBAL,PWRCCSPERXX01,30.0
GLOBAL,PWRCCSPRYXX01,30.0
GLOBAL,PWRCCSSLVXX01,30.0
GLOBAL,PWRCCSURYXX01,30.0
GLOBAL,PWRCOAARGXX01,30.0
GLOBAL,PWRCOABOLXX01,30.0
GLOBAL,PWRCOABRAXX01,30.0
GLOBAL,PWRCOACHLXX01,30.0
GLOBAL,PWRCOACOLXX01,30.0
GLOBAL,PWRCOACRIXX01,30.0
GLOBAL,PWRCOADOMXX01,30.0
