REGION,STORAGE,VALUE
GLOBAL,LDSARGXX01,60
GLOBAL,LDSBOLXX01,60
GLOBAL,LDSBRAXX01,60
GLOBAL,LDSCHLXX01,60
GLOBAL,LDSCOLXX01,60
GLOBAL,LDSCRIXX01,60
GLOBAL,LDSDOMXX01,60
GLOBAL,LDSECUXX01,60
GLOBAL,LDSGTMXX01,60
GLOBAL,LDSHNDXX01,60
GLOBAL,LDSHTIXX01,60
GLOBAL,LDSJAMXX01,60
GLOBAL,LDSMEXXX01,60
GLOBAL,LDSNICXX01,60
GLOBAL,LDSPANXX01,60
GLOBAL,LDSPERXX01,60
GLOBAL,LDSPRYXX01,60
GLOBAL,LDSSLVXX01,60
GLOBAL,LDSURYXX01,60
GLOBAL,SDSARGXX01,30
GLOBAL,SDSBOLXX01,30
GLOBAL,SDSBRAXX01,30
GLOBAL,SDSCHLXX01,30
GLOBAL,SDSCOLXX01,30
GLOBAL,SDSCRIXX01,30
GLOBAL,SDSDOMXX01,30
GLOBAL,SDSECUXX01,30
GLOBAL,SDSGTMXX01,30
GLOBAL,SDSHNDXX01,30
GLOBAL,SDSHTIXX01,30
GLOBAL,SDSJAMXX01,30
GLOBAL,SDSMEXXX01,30
GLOBAL,SDSNICXX01,30
GLOBAL,SDSPANXX01,30
GLOBAL,SDSPERXX01,30
GLOBAL,SDSPRYXX01,30
GLOBAL,SDSSLVXX01,30
GLOBAL,SDSURYXX01,30
