REGION,FUEL,YEAR,VALUE
GLOBAL,ELCCRIXX01,2021,1.0
GLOBAL,ELCCRIXX01,2022,1.0
GLOBAL,ELCCRIXX01,2023,1.0
GLOBAL,ELCCRIXX01,2024,1.0
GLOBAL,ELCCRIXX01,2025,1.0
GLOBAL,ELCCRIXX01,2026,1.0
GLOBAL,ELCCRIXX01,2027,1.0
GLOBAL,ELCCRIXX01,2028,1.0
GLOBAL,ELCCRIXX01,2029,1.0
GLOBAL,ELCCRIXX01,2030,1.0
GLOBAL,ELCCRIXX01,2031,1.0
GLOBAL,ELCCRIXX01,2032,1.0
GLOBAL,ELCCRIXX01,2033,1.0
GLOBAL,ELCCRIXX01,2034,1.0
GLOBAL,ELCCRIXX01,2035,1.0
GLOBAL,ELCCRIXX01,2036,1.0
GLOBAL,ELCCRIXX01,2037,1.0
GLOBAL,ELCCRIXX01,2038,1.0
GLOBAL,ELCCRIXX01,2039,1.0
GLOBAL,ELCCRIXX01,2040,1.0
GLOBAL,ELCCRIXX01,2041,1.0
GLOBAL,ELCCRIXX01,2042,1.0
GLOBAL,ELCCRIXX01,2043,1.0
GLOBAL,ELCCRIXX01,2044,1.0
GLOBAL,ELCCRIXX01,2045,1.0
GLOBAL,ELCCRIXX01,2046,1.0
GLOBAL,ELCCRIXX01,2047,1.0
GLOBAL,ELCCRIXX01,2048,1.0
GLOBAL,ELCCRIXX01,2049,1.0
GLOBAL,ELCCRIXX01,2050,1.0
GLOBAL,ELCPANXX01,2021,1.0
GLOBAL,ELCPANXX01,2022,1.0
GLOBAL,ELCPANXX01,2023,1.0
GLOBAL,ELCPANXX01,2024,1.0
GLOBAL,ELCPANXX01,2025,1.0
GLOBAL,ELCPANXX01,2026,1.0
GLOBAL,ELCPANXX01,2027,1.0
GLOBAL,ELCPANXX01,2028,1.0
GLOBAL,ELCPANXX01,2029,1.0
GLOBAL,ELCPANXX01,2030,1.0
GLOBAL,ELCPANXX01,2031,1.0
GLOBAL,ELCPANXX01,2032,1.0
GLOBAL,ELCPANXX01,2033,1.0
GLOBAL,ELCPANXX01,2034,1.0
GLOBAL,ELCPANXX01,2035,1.0
GLOBAL,ELCPANXX01,2036,1.0
GLOBAL,ELCPANXX01,2037,1.0
GLOBAL,ELCPANXX01,2038,1.0
GLOBAL,ELCPANXX01,2039,1.0
GLOBAL,ELCPANXX01,2040,1.0
GLOBAL,ELCPANXX01,2041,1.0
GLOBAL,ELCPANXX01,2042,1.0
GLOBAL,ELCPANXX01,2043,1.0
GLOBAL,ELCPANXX01,2044,1.0
GLOBAL,ELCPANXX01,2045,1.0
GLOBAL,ELCPANXX01,2046,1.0
GLOBAL,ELCPANXX01,2047,1.0
GLOBAL,ELCPANXX01,2048,1.0
GLOBAL,ELCPANXX01,2049,1.0
GLOBAL,ELCPANXX01,2050,1.0
