REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
GLOBAL,PWRLDSARGXX01,LDSARGXX01,1,1
GLOBAL,PWRLDSARGXX01,LDSARGXX01,2,0
GLOBAL,PWRLDSBOLXX01,LDSBOLXX01,1,1
GLOBAL,PWRLDSBOLXX01,LDSBOLXX01,2,0
GLOBAL,PWRLDSBRAXX01,LDSBRAXX01,1,1
GLOBAL,PWRLDSBRAXX01,LDSBRAXX01,2,0
GLOBAL,PWRLDSCHLXX01,LDSCHLXX01,1,1
GLOBAL,PWRLDSCHLXX01,LDSCHLXX01,2,0
GLOBAL,PWRLDSCOLXX01,LDSCOLXX01,1,1
GLOBAL,PWRLDSCOLXX01,LDSCOLXX01,2,0
GLOBAL,PWRLDSCRIXX01,LDSCRIXX01,1,1
GLOBAL,PWRLDSCRIXX01,LDSCRIXX01,2,0
GLOBAL,PWRLDSDOMXX01,LDSDOMXX01,1,1
GLOBAL,PWRLDSDOMXX01,LDSDOMXX01,2,0
GLOBAL,PWRLDSECUXX01,LDSECUXX01,1,1
GLOBAL,PWRLDSECUXX01,LDSECUXX01,2,0
GLOBAL,PWRLDSGTMXX01,LDSGTMXX01,1,1
GLOBAL,PWRLDSGTMXX01,LDSGTMXX01,2,0
GLOBAL,PWRLDSHNDXX01,LDSHNDXX01,1,1
GLOBAL,PWRLDSHNDXX01,LDSHNDXX01,2,0
GLOBAL,PWRLDSHTIXX01,LDSHTIXX01,1,1
GLOBAL,PWRLDSHTIXX01,LDSHTIXX01,2,0
GLOBAL,PWRLDSJAMXX01,LDSJAMXX01,1,1
GLOBAL,PWRLDSJAMXX01,LDSJAMXX01,2,0
GLOBAL,PWRLDSMEXXX01,LDSMEXXX01,1,1
GLOBAL,PWRLDSMEXXX01,LDSMEXXX01,2,0
GLOBAL,PWRLDSNICXX01,LDSNICXX01,1,1
GLOBAL,PWRLDSNICXX01,LDSNICXX01,2,0
GLOBAL,PWRLDSPANXX01,LDSPANXX01,1,1
GLOBAL,PWRLDSPANXX01,LDSPANXX01,2,0
GLOBAL,PWRLDSPERXX01,LDSPERXX01,1,1
GLOBAL,PWRLDSPERXX01,LDSPERXX01,2,0
GLOBAL,PWRLDSPRYXX01,LDSPRYXX01,1,1
GLOBAL,PWRLDSPRYXX01,LDSPRYXX01,2,0
GLOBAL,PWRLDSSLVXX01,LDSSLVXX01,1,1
GLOBAL,PWRLDSSLVXX01,LDSSLVXX01,2,0
GLOBAL,PWRLDSURYXX01,LDSURYXX01,1,1
GLOBAL,PWRLDSURYXX01,LDSURYXX01,2,0
GLOBAL,PWRSDSARGXX01,SDSARGXX01,1,1
GLOBAL,PWRSDSARGXX01,SDSARGXX01,2,0
GLOBAL,PWRSDSBOLXX01,SDSBOLXX01,1,1
GLOBAL,PWRSDSBOLXX01,SDSBOLXX01,2,0
GLOBAL,PWRSDSBRAXX01,SDSBRAXX01,1,1
GLOBAL,PWRSDSBRAXX01,SDSBRAXX01,2,0
GLOBAL,PWRSDSCHLXX01,SDSCHLXX01,1,1
GLOBAL,PWRSDSCHLXX01,SDSCHLXX01,2,0
GLOBAL,PWRSDSCOLXX01,SDSCOLXX01,1,1
GLOBAL,PWRSDSCOLXX01,SDSCOLXX01,2,0
GLOBAL,PWRSDSCRIXX01,SDSCRIXX01,1,1
GLOBAL,PWRSDSCRIXX01,SDSCRIXX01,2,0
GLOBAL,PWRSDSDOMXX01,SDSDOMXX01,1,1
GLOBAL,PWRSDSDOMXX01,SDSDOMXX01,2,0
GLOBAL,PWRSDSECUXX01,SDSECUXX01,1,1
GLOBAL,PWRSDSECUXX01,SDSECUXX01,2,0
GLOBAL,PWRSDSGTMXX01,SDSGTMXX01,1,1
GLOBAL,PWRSDSGTMXX01,SDSGTMXX01,2,0
GLOBAL,PWRSDSHNDXX01,SDSHNDXX01,1,1
GLOBAL,PWRSDSHNDXX01,SDSHNDXX01,2,0
GLOBAL,PWRSDSHTIXX01,SDSHTIXX01,1,1
GLOBAL,PWRSDSHTIXX01,SDSHTIXX01,2,0
GLOBAL,PWRSDSJAMXX01,SDSJAMXX01,1,1
GLOBAL,PWRSDSJAMXX01,SDSJAMXX01,2,0
GLOBAL,PWRSDSMEXXX01,SDSMEXXX01,1,1
GLOBAL,PWRSDSMEXXX01,SDSMEXXX01,2,0
GLOBAL,PWRSDSNICXX01,SDSNICXX01,1,1
GLOBAL,PWRSDSNICXX01,SDSNICXX01,2,0
GLOBAL,PWRSDSPANXX01,SDSPANXX01,1,1
GLOBAL,PWRSDSPANXX01,SDSPANXX01,2,0
GLOBAL,PWRSDSPERXX01,SDSPERXX01,1,1
GLOBAL,PWRSDSPERXX01,SDSPERXX01,2,0
GLOBAL,PWRSDSPRYXX01,SDSPRYXX01,1,1
GLOBAL,PWRSDSPRYXX01,SDSPRYXX01,2,0
GLOBAL,PWRSDSSLVXX01,SDSSLVXX01,1,1
GLOBAL,PWRSDSSLVXX01,SDSSLVXX01,2,0
GLOBAL,PWRSDSURYXX01,SDSURYXX01,1,1
GLOBAL,PWRSDSURYXX01,SDSURYXX01,2,0
