REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOCOLXX01,2023,
GLOBAL,PWRBIOCOLXX01,2024,
GLOBAL,PWRBIOCOLXX01,2025,
GLOBAL,PWRBIOCOLXX01,2026,
GLOBAL,PWRBIOCOLXX01,2027,
GLOBAL,PWRBIOCOLXX01,2028,
GLOBAL,PWRBIOCOLXX01,2029,
GLOBAL,PWRBIOCOLXX01,2030,
GLOBAL,PWRBIOCOLXX01,2031,0.025
GLOBAL,PWRBIOCOLXX01,2032,
GLOBAL,PWRBIOCOLXX01,2033,0.01
GLOBAL,PWRBIOCOLXX01,2034,
GLOBAL,PWRBIOCOLXX01,2035,
GLOBAL,PWRBIOCOLXX01,2036,
GLOBAL,PWRBIOCOLXX01,2037,
GLOBAL,PWRBIOCOLXX01,2038,
GLOBAL,PWRBIOCOLXX01,2039,
GLOBAL,PWRBIOCOLXX01,2040,
GLOBAL,PWRBIOCOLXX01,2041,
GLOBAL,PWRBIOCOLXX01,2042,
GLOBAL,PWRBIOCOLXX01,2043,
GLOBAL,PWRBIOCOLXX01,2044,
GLOBAL,PWRBIOCOLXX01,2045,
GLOBAL,PWRBIOCOLXX01,2046,
GLOBAL,PWRBIOCOLXX01,2047,
GLOBAL,PWRBIOCOLXX01,2048,
GLOBAL,PWRBIOCOLXX01,2049,
GLOBAL,PWRBIOCOLXX01,2050,
GLOBAL,PWRBIOCRIXX01,2023,
GLOBAL,PWRBIOCRIXX01,2024,
GLOBAL,PWRBIOCRIXX01,2025,
GLOBAL,PWRBIOCRIXX01,2026,0.02
GLOBAL,PWRBIOCRIXX01,2027,
GLOBAL,PWRBIOCRIXX01,2028,
GLOBAL,PWRBIOCRIXX01,2029,
GLOBAL,PWRBIOCRIXX01,2030,
GLOBAL,PWRBIOCRIXX01,2031,
GLOBAL,PWRBIOCRIXX01,2032,
GLOBAL,PWRBIOCRIXX01,2033,
GLOBAL,PWRBIOCRIXX01,2034,
GLOBAL,PWRBIOCRIXX01,2035,
GLOBAL,PWRBIOCRIXX01,2036,
GLOBAL,PWRBIOCRIXX01,2037,
GLOBAL,PWRBIOCRIXX01,2038,
GLOBAL,PWRBIOCRIXX01,2039,
GLOBAL,PWRBIOCRIXX01,2040,
GLOBAL,PWRBIOCRIXX01,2041,
GLOBAL,PWRBIOCRIXX01,2042,
GLOBAL,PWRBIOCRIXX01,2043,
GLOBAL,PWRBIOCRIXX01,2044,
GLOBAL,PWRBIOCRIXX01,2045,
GLOBAL,PWRBIOCRIXX01,2046,
GLOBAL,PWRBIOCRIXX01,2047,
GLOBAL,PWRBIOCRIXX01,2048,
GLOBAL,PWRBIOCRIXX01,2049,
GLOBAL,PWRBIOCRIXX01,2050,
GLOBAL,PWRBIOECUXX01,2023,
GLOBAL,PWRBIOECUXX01,2024,
GLOBAL,PWRBIOECUXX01,2025,
GLOBAL,PWRBIOECUXX01,2026,
GLOBAL,PWRBIOECUXX01,2027,
GLOBAL,PWRBIOECUXX01,2028,0.03
GLOBAL,PWRBIOECUXX01,2029,
GLOBAL,PWRBIOECUXX01,2030,
GLOBAL,PWRBIOECUXX01,2031,
GLOBAL,PWRBIOECUXX01,2032,
GLOBAL,PWRBIOECUXX01,2033,
GLOBAL,PWRBIOECUXX01,2034,
GLOBAL,PWRBIOECUXX01,2035,
GLOBAL,PWRBIOECUXX01,2036,
GLOBAL,PWRBIOECUXX01,2037,
GLOBAL,PWRBIOECUXX01,2038,
GLOBAL,PWRBIOECUXX01,2039,
GLOBAL,PWRBIOECUXX01,2040,
GLOBAL,PWRBIOECUXX01,2041,
GLOBAL,PWRBIOECUXX01,2042,
GLOBAL,PWRBIOECUXX01,2043,
GLOBAL,PWRBIOECUXX01,2044,
GLOBAL,PWRBIOECUXX01,2045,
GLOBAL,PWRBIOECUXX01,2046,
GLOBAL,PWRBIOECUXX01,2047,
GLOBAL,PWRBIOECUXX01,2048,
GLOBAL,PWRBIOECUXX01,2049,
GLOBAL,PWRBIOECUXX01,2050,
GLOBAL,PWRCCGBRAXX00,2023,
GLOBAL,PWRCCGBRAXX00,2024,
GLOBAL,PWRCCGBRAXX00,2025,
GLOBAL,PWRCCGBRAXX00,2026,
GLOBAL,PWRCCGBRAXX00,2027,
GLOBAL,PWRCCGBRAXX00,2028,
GLOBAL,PWRCCGBRAXX00,2029,
GLOBAL,PWRCCGBRAXX00,2030,
GLOBAL,PWRCCGBRAXX00,2031,
GLOBAL,PWRCCGBRAXX00,2032,
GLOBAL,PWRCCGBRAXX00,2033,
GLOBAL,PWRCCGBRAXX00,2034,
GLOBAL,PWRCCGBRAXX00,2035,
GLOBAL,PWRCCGBRAXX00,2036,
GLOBAL,PWRCCGBRAXX00,2037,
GLOBAL,PWRCCGBRAXX00,2038,
GLOBAL,PWRCCGBRAXX00,2039,
GLOBAL,PWRCCGBRAXX00,2040,
GLOBAL,PWRCCGBRAXX00,2041,
GLOBAL,PWRCCGBRAXX00,2042,
GLOBAL,PWRCCGBRAXX00,2043,
GLOBAL,PWRCCGBRAXX00,2044,
GLOBAL,PWRCCGBRAXX00,2045,
GLOBAL,PWRCCGBRAXX00,2046,
GLOBAL,PWRCCGBRAXX00,2047,
GLOBAL,PWRCCGBRAXX00,2048,
GLOBAL,PWRCCGBRAXX00,2049,
GLOBAL,PWRCCGBRAXX00,2050,
GLOBAL,PWRCCGBRAXX01,2023,
GLOBAL,PWRCCGBRAXX01,2024,
GLOBAL,PWRCCGBRAXX01,2025,1.379
GLOBAL,PWRCCGBRAXX01,2026,
GLOBAL,PWRCCGBRAXX01,2027,
GLOBAL,PWRCCGBRAXX01,2028,
GLOBAL,PWRCCGBRAXX01,2029,
GLOBAL,PWRCCGBRAXX01,2030,
GLOBAL,PWRCCGBRAXX01,2031,
GLOBAL,PWRCCGBRAXX01,2032,
GLOBAL,PWRCCGBRAXX01,2033,
GLOBAL,PWRCCGBRAXX01,2034,
GLOBAL,PWRCCGBRAXX01,2035,
GLOBAL,PWRCCGBRAXX01,2036,
GLOBAL,PWRCCGBRAXX01,2037,
GLOBAL,PWRCCGBRAXX01,2038,
GLOBAL,PWRCCGBRAXX01,2039,
GLOBAL,PWRCCGBRAXX01,2040,
GLOBAL,PWRCCGBRAXX01,2041,
GLOBAL,PWRCCGBRAXX01,2042,
GLOBAL,PWRCCGBRAXX01,2043,
GLOBAL,PWRCCGBRAXX01,2044,
