REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAARG,2023,0.0
GLOBAL,MINCOAARG,2024,0.0
GLOBAL,MINCOAARG,2025,0.0
GLOBAL,MINCOAARG,2026,0.0
GLOBAL,MINCOAARG,2027,0.0
GLOBAL,MINCOAARG,2028,0.0
GLOBAL,MINCOAARG,2029,0.0
GLOBAL,MINCOAARG,2030,0.0
GLOBAL,MINCOAARG,2031,0.0
GLOBAL,MINCOAARG,2032,0.0
GLOBAL,MINCOAARG,2033,0.0
GLOBAL,MINCOAARG,2034,0.0
GLOBAL,MINCOAARG,2035,0.0
GLOBAL,MINCOAARG,2036,0.0
GLOBAL,MINCOAARG,2037,0.0
GLOBAL,MINCOAARG,2038,0.0
GLOBAL,MINCOAARG,2039,0.0
GLOBAL,MINCOAARG,2040,0.0
GLOBAL,MINCOAARG,2041,0.0
GLOBAL,MINCOAARG,2042,0.0
GLOBAL,MINCOAARG,2043,0.0
GLOBAL,MINCOAARG,2044,0.0
GLOBAL,MINCOAARG,2045,0.0
GLOBAL,MINCOAARG,2046,0.0
GLOBAL,MINCOAARG,2047,0.0
GLOBAL,MINCOAARG,2048,0.0
GLOBAL,MINCOAARG,2049,0.0
GLOBAL,MINCOAARG,2050,0.0
GLOBAL,MINCOABOL,2023,0.0
GLOBAL,MINCOABOL,2024,0.0
GLOBAL,MINCOABOL,2025,0.0
GLOBAL,MINCOABOL,2026,0.0
GLOBAL,MINCOABOL,2027,0.0
GLOBAL,MINCOABOL,2028,0.0
GLOBAL,MINCOABOL,2029,0.0
GLOBAL,MINCOABOL,2030,0.0
GLOBAL,MINCOABOL,2031,0.0
GLOBAL,MINCOABOL,2032,0.0
GLOBAL,MINCOABOL,2033,0.0
GLOBAL,MINCOABOL,2034,0.0
GLOBAL,MINCOABOL,2035,0.0
GLOBAL,MINCOABOL,2036,0.0
GLOBAL,MINCOABOL,2037,0.0
GLOBAL,MINCOABOL,2038,0.0
GLOBAL,MINCOABOL,2039,0.0
GLOBAL,MINCOABOL,2040,0.0
GLOBAL,MINCOABOL,2041,0.0
GLOBAL,MINCOABOL,2042,0.0
GLOBAL,MINCOABOL,2043,0.0
GLOBAL,MINCOABOL,2044,0.0
GLOBAL,MINCOABOL,2045,0.0
GLOBAL,MINCOABOL,2046,0.0
GLOBAL,MINCOABOL,2047,0.0
GLOBAL,MINCOABOL,2048,0.0
GLOBAL,MINCOABOL,2049,0.0
GLOBAL,MINCOABOL,2050,0.0
GLOBAL,MINCOABRA,2023,0.0
GLOBAL,MINCOABRA,2024,0.0
GLOBAL,MINCOABRA,2025,0.0
GLOBAL,MINCOABRA,2026,0.0
GLOBAL,MINCOABRA,2027,0.0
GLOBAL,MINCOABRA,2028,0.0
GLOBAL,MINCOABRA,2029,0.0
GLOBAL,MINCOABRA,2030,0.0
GLOBAL,MINCOABRA,2031,0.0
GLOBAL,MINCOABRA,2032,0.0
GLOBAL,MINCOABRA,2033,0.0
GLOBAL,MINCOABRA,2034,0.0
GLOBAL,MINCOABRA,2035,0.0
GLOBAL,MINCOABRA,2036,0.0
GLOBAL,MINCOABRA,2037,0.0
GLOBAL,MINCOABRA,2038,0.0
GLOBAL,MINCOABRA,2039,0.0
GLOBAL,MINCOABRA,2040,0.0
GLOBAL,MINCOABRA,2041,0.0
GLOBAL,MINCOABRA,2042,0.0
GLOBAL,MINCOABRA,2043,0.0
GLOBAL,MINCOABRA,2044,0.0
GLOBAL,MINCOABRA,2045,0.0
GLOBAL,MINCOABRA,2046,0.0
GLOBAL,MINCOABRA,2047,0.0
GLOBAL,MINCOABRA,2048,0.0
GLOBAL,MINCOABRA,2049,0.0
GLOBAL,MINCOABRA,2050,0.0
GLOBAL,MINCOACHL,2023,0.0
GLOBAL,MINCOACHL,2024,0.0
GLOBAL,MINCOACHL,2025,0.0
GLOBAL,MINCOACHL,2026,0.0
GLOBAL,MINCOACHL,2027,0.0
GLOBAL,MINCOACHL,2028,0.0
GLOBAL,MINCOACHL,2029,0.0
GLOBAL,MINCOACHL,2030,0.0
GLOBAL,MINCOACHL,2031,0.0
GLOBAL,MINCOACHL,2032,0.0
GLOBAL,MINCOACHL,2033,0.0
GLOBAL,MINCOACHL,2034,0.0
GLOBAL,MINCOACHL,2035,0.0
GLOBAL,MINCOACHL,2036,0.0
GLOBAL,MINCOACHL,2037,0.0
GLOBAL,MINCOACHL,2038,0.0
GLOBAL,MINCOACHL,2039,0.0
GLOBAL,MINCOACHL,2040,0.0
GLOBAL,MINCOACHL,2041,0.0
GLOBAL,MINCOACHL,2042,0.0
GLOBAL,MINCOACHL,2043,0.0
GLOBAL,MINCOACHL,2044,0.0
GLOBAL,MINCOACHL,2045,0.0
GLOBAL,MINCOACHL,2046,0.0
GLOBAL,MINCOACHL,2047,0.0
GLOBAL,MINCOACHL,2048,0.0
GLOBAL,MINCOACHL,2049,0.0
GLOBAL,MINCOACHL,2050,0.0
GLOBAL,MINCOACOL,2023,0.0
GLOBAL,MINCOACOL,2024,0.0
GLOBAL,MINCOACOL,2025,0.0
GLOBAL,MINCOACOL,2026,0.0
GLOBAL,MINCOACOL,2027,0.0
GLOBAL,MINCOACOL,2028,0.0
GLOBAL,MINCOACOL,2029,0.0
GLOBAL,MINCOACOL,2030,0.0
GLOBAL,MINCOACOL,2031,0.0
GLOBAL,MINCOACOL,2032,0.0
GLOBAL,MINCOACOL,2033,0.0
GLOBAL,MINCOACOL,2034,0.0
GLOBAL,MINCOACOL,2035,0.0
GLOBAL,MINCOACOL,2036,0.0
GLOBAL,MINCOACOL,2037,0.0
GLOBAL,MINCOACOL,2038,0.0
