PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2018,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2019,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2020,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2021,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2022,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2023,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2024,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2025,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2026,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2027,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2028,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2029,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2030,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2031,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2032,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2033,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2034,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2035,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2036,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2037,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2038,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2039,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2040,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2041,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2042,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2043,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2044,All,,,,,1
SpecifiedDemandProfile,BAU,CR,,E5AGRPURDSL,,,2045,All,,,,,1
