PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2018,,,,,,0.4046
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2019,,,,,,0.426
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2020,,,,,,0.426
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2021,,,,,,0.4447
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2022,,,,,,0.4731
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2023,,,,,,0.4801
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2024,,,,,,0.4955
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2025,,,,,,0.5111
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2026,,,,,,0.5256
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2027,,,,,,0.5405
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2028,,,,,,0.5561
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2029,,,,,,0.5712
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2030,,,,,,0.5861
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2031,,,,,,0.5996
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2032,,,,,,0.6134
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2033,,,,,,0.6274
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2034,,,,,,0.6417
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2035,,,,,,0.6561
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2036,,,,,,0.6683
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2037,,,,,,0.6807
TotalAnnualMaxCapacity,BAU,CR,TRNMIC,,,,2038,,,,,,0.6933
