PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCincond,CR,IMPPURDSL,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,IMPPURGSL,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,IMPCOA,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,IMPLPG,,,,,,,,,,10.0
OperationalLife,NDCincond,CR,IMPFOI,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PROFIR,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,IMPKJF,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,IMPCOK,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PROINDWAS,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,IMPNGS,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PROSUG,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PROBMS,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PWRGEO,,,,,,,,,,30.0
OperationalLife,NDCincond,CR,PWRHYDDAM,,,,,,,,,,40.0
OperationalLife,NDCincond,CR,PWRHYDROR,,,,,,,,,,40.0
OperationalLife,NDCincond,CR,PWRSPVTRN,,,,,,,,,,25.0
OperationalLife,NDCincond,CR,PWRSPVDTR,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,PWRWNONS,,,,,,,,,,25.0
OperationalLife,NDCincond,CR,PP_WNDOFS,,,,,,,,,,25.0
OperationalLife,NDCincond,CR,PP_SPV_DG,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,PP_SPV_US_H2,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,PP_WND_US_H2,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,PP_WND_OF_H2,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,ELE_TRN,,,,,,,,,,60.0
OperationalLife,NDCincond,CR,ELE_DTR,,,,,,,,,,50.0
OperationalLife,NDCincond,CR,NGS_DTR,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PWRSUG,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PWRBMS,,,,,,,,,,25.0
OperationalLife,NDCincond,CR,PWRFOI,,,,,,,,,,35.0
OperationalLife,NDCincond,CR,PWRDSL,,,,,,,,,,35.0
OperationalLife,NDCincond,CR,PROBIODSL,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,BLEND_DSL,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,PROETA,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,BLEND_GSL,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,HYDPROELEISO,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,HYDPROELEGRI,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,HYDPROBIO,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,HYDPRONGS,,,,,,,,,,20.0
OperationalLife,NDCincond,CR,HYD_DISTR,,,,,,,,,,15.0
OperationalLife,NDCincond,CR,T5PURDSLAGR,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,T5DSLAGR,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,T5ELEAGR,,,,,,,,,,1.0
OperationalLife,NDCincond,CR,T5PURGSLAGR,,,,,,,,,,1.0
