PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2018,,,,,,0.4046
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2019,,,,,,0.426
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2020,,,,,,0.426
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2021,,,,,,0.4447
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2022,,,,,,0.4731
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2023,,,,,,0.4793
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2024,,,,,,0.4941
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2025,,,,,,0.5088
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2026,,,,,,0.5227
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2027,,,,,,0.5452
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2028,,,,,,0.5652
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2029,,,,,,0.5875
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2030,,,,,,0.6142
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2031,,,,,,0.6454
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2032,,,,,,0.685
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2033,,,,,,0.7341
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2034,,,,,,0.7925
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2035,,,,,,0.8579
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2036,,,,,,0.9222
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2037,,,,,,0.9836
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2038,,,,,,1.0388
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2039,,,,,,1.0863
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2040,,,,,,1.1267
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2041,,,,,,1.1571
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2042,,,,,,1.183
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2043,,,,,,1.2057
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2044,,,,,,1.2264
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2045,,,,,,1.2458
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2046,,,,,,1.2603
TotalAnnualMaxCapacity,NDCincond,CR,TRNMIC,,,,2047,,,,,,1.2742
