PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,NDCincond,,,,,,2018,All,,,,,1
YearSplit,NDCincond,,,,,,2019,All,,,,,1
YearSplit,NDCincond,,,,,,2020,All,,,,,1
YearSplit,NDCincond,,,,,,2021,All,,,,,1
YearSplit,NDCincond,,,,,,2022,All,,,,,1
YearSplit,NDCincond,,,,,,2023,All,,,,,1
YearSplit,NDCincond,,,,,,2024,All,,,,,1
YearSplit,NDCincond,,,,,,2025,All,,,,,1
YearSplit,NDCincond,,,,,,2026,All,,,,,1
YearSplit,NDCincond,,,,,,2027,All,,,,,1
YearSplit,NDCincond,,,,,,2028,All,,,,,1
YearSplit,NDCincond,,,,,,2029,All,,,,,1
YearSplit,NDCincond,,,,,,2030,All,,,,,1
YearSplit,NDCincond,,,,,,2031,All,,,,,1
YearSplit,NDCincond,,,,,,2032,All,,,,,1
YearSplit,NDCincond,,,,,,2033,All,,,,,1
YearSplit,NDCincond,,,,,,2034,All,,,,,1
YearSplit,NDCincond,,,,,,2035,All,,,,,1
YearSplit,NDCincond,,,,,,2036,All,,,,,1
YearSplit,NDCincond,,,,,,2037,All,,,,,1
YearSplit,NDCincond,,,,,,2038,All,,,,,1
YearSplit,NDCincond,,,,,,2039,All,,,,,1
YearSplit,NDCincond,,,,,,2040,All,,,,,1
YearSplit,NDCincond,,,,,,2041,All,,,,,1
YearSplit,NDCincond,,,,,,2042,All,,,,,1
YearSplit,NDCincond,,,,,,2043,All,,,,,1
YearSplit,NDCincond,,,,,,2044,All,,,,,1
YearSplit,NDCincond,,,,,,2045,All,,,,,1
YearSplit,NDCincond,,,,,,2046,All,,,,,1
YearSplit,NDCincond,,,,,,2047,All,,,,,1
YearSplit,NDCincond,,,,,,2048,All,,,,,1
YearSplit,NDCincond,,,,,,2049,All,,,,,1
YearSplit,NDCincond,,,,,,2050,All,,,,,1
