REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGCRIXX00,31.536
GLOBAL,PWROCGCRIXX00,31.536
GLOBAL,PWRHYDCRIXX01,31.536
GLOBAL,PWROILCRIXX01,31.536
GLOBAL,PWRSPVCRIXX01,31.536
GLOBAL,PWROTHCRIXX01,31.536
GLOBAL,PWRCSPCRIXX01,31.536
GLOBAL,PWRBIOCRIXX01,31.536
GLOBAL,PWRCOACRIXX01,31.536
GLOBAL,PWRURNCRIXX01,31.536
GLOBAL,PWRWONCRIXX01,31.536
GLOBAL,PWRWASCRIXX01,31.536
GLOBAL,PWRWOFCRIXX01,31.536
GLOBAL,PWRWAVCRIXX01,31.536
GLOBAL,PWRPETCRIXX01,31.536
GLOBAL,PWRGEOCRIXX01,31.536
GLOBAL,PWRCOGCRIXX01,31.536
GLOBAL,PWRCCSCRIXX01,31.536
GLOBAL,PWRCCGCRIXX01,31.536
GLOBAL,PWROCGCRIXX01,31.536
GLOBAL,PWRBCKCRIAR,31.536
GLOBAL,PWRBCKCRIXX,31.536
GLOBAL,PWRTRNCRIXX,31.536
GLOBAL,PWRTRNCRIAR,31.536
