REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBCKCRIXX,2021,999999.0
GLOBAL,PWRBCKCRIXX,2022,999999.0
GLOBAL,PWRBCKCRIXX,2023,999999.0
GLOBAL,PWRBCKCRIXX,2024,999999.0
GLOBAL,PWRBCKCRIXX,2025,999999.0
GLOBAL,PWRBCKCRIXX,2026,999999.0
GLOBAL,PWRBCKCRIXX,2027,999999.0
GLOBAL,PWRBCKCRIXX,2028,999999.0
GLOBAL,PWRBCKCRIXX,2029,999999.0
GLOBAL,PWRBCKCRIXX,2030,999999.0
GLOBAL,PWRBCKCRIXX,2031,999999.0
GLOBAL,PWRBCKCRIXX,2032,999999.0
GLOBAL,PWRBCKCRIXX,2033,999999.0
GLOBAL,PWRBCKCRIXX,2034,999999.0
GLOBAL,PWRBCKCRIXX,2035,999999.0
GLOBAL,PWRBCKCRIXX,2036,999999.0
GLOBAL,PWRBCKCRIXX,2037,999999.0
GLOBAL,PWRBCKCRIXX,2038,999999.0
GLOBAL,PWRBCKCRIXX,2039,999999.0
GLOBAL,PWRBCKCRIXX,2040,999999.0
GLOBAL,PWRBCKCRIXX,2041,999999.0
GLOBAL,PWRBCKCRIXX,2042,999999.0
GLOBAL,PWRBCKCRIXX,2043,999999.0
GLOBAL,PWRBCKCRIXX,2044,999999.0
GLOBAL,PWRBCKCRIXX,2045,999999.0
GLOBAL,PWRBCKCRIXX,2046,999999.0
GLOBAL,PWRBCKCRIXX,2047,999999.0
GLOBAL,PWRBCKCRIXX,2048,999999.0
GLOBAL,PWRBCKCRIXX,2049,999999.0
GLOBAL,PWRBCKCRIXX,2050,999999.0
GLOBAL,PWRBCKPANXX,2021,999999.0
GLOBAL,PWRBCKPANXX,2022,999999.0
GLOBAL,PWRBCKPANXX,2023,999999.0
GLOBAL,PWRBCKPANXX,2024,999999.0
GLOBAL,PWRBCKPANXX,2025,999999.0
GLOBAL,PWRBCKPANXX,2026,999999.0
GLOBAL,PWRBCKPANXX,2027,999999.0
GLOBAL,PWRBCKPANXX,2028,999999.0
GLOBAL,PWRBCKPANXX,2029,999999.0
GLOBAL,PWRBCKPANXX,2030,999999.0
GLOBAL,PWRBCKPANXX,2031,999999.0
GLOBAL,PWRBCKPANXX,2032,999999.0
GLOBAL,PWRBCKPANXX,2033,999999.0
GLOBAL,PWRBCKPANXX,2034,999999.0
GLOBAL,PWRBCKPANXX,2035,999999.0
GLOBAL,PWRBCKPANXX,2036,999999.0
GLOBAL,PWRBCKPANXX,2037,999999.0
GLOBAL,PWRBCKPANXX,2038,999999.0
GLOBAL,PWRBCKPANXX,2039,999999.0
GLOBAL,PWRBCKPANXX,2040,999999.0
GLOBAL,PWRBCKPANXX,2041,999999.0
GLOBAL,PWRBCKPANXX,2042,999999.0
GLOBAL,PWRBCKPANXX,2043,999999.0
GLOBAL,PWRBCKPANXX,2044,999999.0
GLOBAL,PWRBCKPANXX,2045,999999.0
GLOBAL,PWRBCKPANXX,2046,999999.0
GLOBAL,PWRBCKPANXX,2047,999999.0
GLOBAL,PWRBCKPANXX,2048,999999.0
GLOBAL,PWRBCKPANXX,2049,999999.0
GLOBAL,PWRBCKPANXX,2050,999999.0
GLOBAL,PWRBIOCRIXX01,2021,2400.0
GLOBAL,PWRBIOCRIXX01,2022,2400.0
GLOBAL,PWRBIOCRIXX01,2023,2400.0
GLOBAL,PWRBIOCRIXX01,2024,2400.0
GLOBAL,PWRBIOCRIXX01,2025,2400.0
GLOBAL,PWRBIOCRIXX01,2026,2400.0
GLOBAL,PWRBIOCRIXX01,2027,2400.0
GLOBAL,PWRBIOCRIXX01,2028,2400.0
GLOBAL,PWRBIOCRIXX01,2029,2400.0
GLOBAL,PWRBIOCRIXX01,2030,2400.0
GLOBAL,PWRBIOCRIXX01,2031,2395.0
GLOBAL,PWRBIOCRIXX01,2032,2390.0
GLOBAL,PWRBIOCRIXX01,2033,2385.0
GLOBAL,PWRBIOCRIXX01,2034,2380.0
GLOBAL,PWRBIOCRIXX01,2035,2375.0
GLOBAL,PWRBIOCRIXX01,2036,2370.0
GLOBAL,PWRBIOCRIXX01,2037,2365.0
GLOBAL,PWRBIOCRIXX01,2038,2360.0
GLOBAL,PWRBIOCRIXX01,2039,2355.0
GLOBAL,PWRBIOCRIXX01,2040,2350.0
GLOBAL,PWRBIOCRIXX01,2041,2350.0
GLOBAL,PWRBIOCRIXX01,2042,2350.0
GLOBAL,PWRBIOCRIXX01,2043,2350.0
GLOBAL,PWRBIOCRIXX01,2044,2350.0
GLOBAL,PWRBIOCRIXX01,2045,2350.0
GLOBAL,PWRBIOCRIXX01,2046,2350.0
GLOBAL,PWRBIOCRIXX01,2047,2350.0
GLOBAL,PWRBIOCRIXX01,2048,2350.0
GLOBAL,PWRBIOCRIXX01,2049,2350.0
