REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSCRIXX01,2021,52694.444444444445
GLOBAL,LDSCRIXX01,2022,52694.444444444445
GLOBAL,LDSCRIXX01,2023,52694.444444444445
GLOBAL,LDSCRIXX01,2024,52694.444444444445
GLOBAL,LDSCRIXX01,2025,52694.444444444445
GLOBAL,LDSCRIXX01,2026,52694.444444444445
GLOBAL,LDSCRIXX01,2027,52694.444444444445
GLOBAL,LDSCRIXX01,2028,52694.444444444445
GLOBAL,LDSCRIXX01,2029,52694.444444444445
GLOBAL,LDSCRIXX01,2030,52694.444444444445
GLOBAL,LDSCRIXX01,2031,52694.444444444445
GLOBAL,LDSCRIXX01,2032,52694.444444444445
GLOBAL,LDSCRIXX01,2033,52694.444444444445
GLOBAL,LDSCRIXX01,2034,52694.444444444445
GLOBAL,LDSCRIXX01,2035,52694.444444444445
GLOBAL,LDSCRIXX01,2036,52694.444444444445
GLOBAL,LDSCRIXX01,2037,52694.444444444445
GLOBAL,LDSCRIXX01,2038,52694.444444444445
GLOBAL,LDSCRIXX01,2039,52694.444444444445
GLOBAL,LDSCRIXX01,2040,52694.444444444445
GLOBAL,LDSCRIXX01,2041,52694.444444444445
GLOBAL,LDSCRIXX01,2042,52694.444444444445
GLOBAL,LDSCRIXX01,2043,52694.444444444445
GLOBAL,LDSCRIXX01,2044,52694.444444444445
GLOBAL,LDSCRIXX01,2045,52694.444444444445
GLOBAL,LDSCRIXX01,2046,52694.444444444445
GLOBAL,LDSCRIXX01,2047,52694.444444444445
GLOBAL,LDSCRIXX01,2048,52694.444444444445
GLOBAL,LDSCRIXX01,2049,52694.444444444445
GLOBAL,LDSCRIXX01,2050,52694.444444444445
GLOBAL,LDSPANXX01,2021,52694.444444444445
GLOBAL,LDSPANXX01,2022,52694.444444444445
GLOBAL,LDSPANXX01,2023,52694.444444444445
GLOBAL,LDSPANXX01,2024,52694.444444444445
GLOBAL,LDSPANXX01,2025,52694.444444444445
GLOBAL,LDSPANXX01,2026,52694.444444444445
GLOBAL,LDSPANXX01,2027,52694.444444444445
GLOBAL,LDSPANXX01,2028,52694.444444444445
GLOBAL,LDSPANXX01,2029,52694.444444444445
GLOBAL,LDSPANXX01,2030,52694.444444444445
GLOBAL,LDSPANXX01,2031,52694.444444444445
GLOBAL,LDSPANXX01,2032,52694.444444444445
GLOBAL,LDSPANXX01,2033,52694.444444444445
GLOBAL,LDSPANXX01,2034,52694.444444444445
GLOBAL,LDSPANXX01,2035,52694.444444444445
GLOBAL,LDSPANXX01,2036,52694.444444444445
GLOBAL,LDSPANXX01,2037,52694.444444444445
GLOBAL,LDSPANXX01,2038,52694.444444444445
GLOBAL,LDSPANXX01,2039,52694.444444444445
GLOBAL,LDSPANXX01,2040,52694.444444444445
GLOBAL,LDSPANXX01,2041,52694.444444444445
GLOBAL,LDSPANXX01,2042,52694.444444444445
GLOBAL,LDSPANXX01,2043,52694.444444444445
GLOBAL,LDSPANXX01,2044,52694.444444444445
GLOBAL,LDSPANXX01,2045,52694.444444444445
GLOBAL,LDSPANXX01,2046,52694.444444444445
GLOBAL,LDSPANXX01,2047,52694.444444444445
GLOBAL,LDSPANXX01,2048,52694.444444444445
GLOBAL,LDSPANXX01,2049,52694.444444444445
GLOBAL,LDSPANXX01,2050,52694.444444444445
GLOBAL,SDSCRIXX01,2021,67291.66666666667
GLOBAL,SDSCRIXX01,2022,67291.66666666667
GLOBAL,SDSCRIXX01,2023,67291.66666666667
GLOBAL,SDSCRIXX01,2024,67291.66666666667
GLOBAL,SDSCRIXX01,2025,67291.66666666667
GLOBAL,SDSCRIXX01,2026,67291.66666666667
GLOBAL,SDSCRIXX01,2027,67291.66666666667
GLOBAL,SDSCRIXX01,2028,67291.66666666667
GLOBAL,SDSCRIXX01,2029,67291.66666666667
GLOBAL,SDSCRIXX01,2030,67291.66666666667
GLOBAL,SDSCRIXX01,2031,67291.66666666667
GLOBAL,SDSCRIXX01,2032,67291.66666666667
GLOBAL,SDSCRIXX01,2033,67291.66666666667
GLOBAL,SDSCRIXX01,2034,67291.66666666667
GLOBAL,SDSCRIXX01,2035,67291.66666666667
GLOBAL,SDSCRIXX01,2036,67291.66666666667
GLOBAL,SDSCRIXX01,2037,67291.66666666667
GLOBAL,SDSCRIXX01,2038,67291.66666666667
GLOBAL,SDSCRIXX01,2039,67291.66666666667
GLOBAL,SDSCRIXX01,2040,67291.66666666667
GLOBAL,SDSCRIXX01,2041,67291.66666666667
GLOBAL,SDSCRIXX01,2042,67291.66666666667
GLOBAL,SDSCRIXX01,2043,67291.66666666667
GLOBAL,SDSCRIXX01,2044,67291.66666666667
GLOBAL,SDSCRIXX01,2045,67291.66666666667
GLOBAL,SDSCRIXX01,2046,67291.66666666667
GLOBAL,SDSCRIXX01,2047,67291.66666666667
GLOBAL,SDSCRIXX01,2048,67291.66666666667
GLOBAL,SDSCRIXX01,2049,67291.66666666667
GLOBAL,SDSCRIXX01,2050,67291.66666666667
GLOBAL,SDSPANXX01,2021,67291.66666666667
GLOBAL,SDSPANXX01,2022,67291.66666666667
GLOBAL,SDSPANXX01,2023,67291.66666666667
GLOBAL,SDSPANXX01,2024,67291.66666666667
GLOBAL,SDSPANXX01,2025,67291.66666666667
GLOBAL,SDSPANXX01,2026,67291.66666666667
GLOBAL,SDSPANXX01,2027,67291.66666666667
GLOBAL,SDSPANXX01,2028,67291.66666666667
GLOBAL,SDSPANXX01,2029,67291.66666666667
GLOBAL,SDSPANXX01,2030,67291.66666666667
GLOBAL,SDSPANXX01,2031,67291.66666666667
GLOBAL,SDSPANXX01,2032,67291.66666666667
GLOBAL,SDSPANXX01,2033,67291.66666666667
GLOBAL,SDSPANXX01,2034,67291.66666666667
GLOBAL,SDSPANXX01,2035,67291.66666666667
GLOBAL,SDSPANXX01,2036,67291.66666666667
GLOBAL,SDSPANXX01,2037,67291.66666666667
GLOBAL,SDSPANXX01,2038,67291.66666666667
GLOBAL,SDSPANXX01,2039,67291.66666666667
GLOBAL,SDSPANXX01,2040,67291.66666666667
GLOBAL,SDSPANXX01,2041,67291.66666666667
GLOBAL,SDSPANXX01,2042,67291.66666666667
GLOBAL,SDSPANXX01,2043,67291.66666666667
GLOBAL,SDSPANXX01,2044,67291.66666666667
GLOBAL,SDSPANXX01,2045,67291.66666666667
GLOBAL,SDSPANXX01,2046,67291.66666666667
GLOBAL,SDSPANXX01,2047,67291.66666666667
GLOBAL,SDSPANXX01,2048,67291.66666666667
GLOBAL,SDSPANXX01,2049,67291.66666666667
GLOBAL,SDSPANXX01,2050,67291.66666666667
