REGION,TECHNOLOGY,VALUE
GLOBAL,PWRHYDPANXX01,100
GLOBAL,PWRWASPANXX01,30
GLOBAL,PWROTHPANXX01,30
GLOBAL,PWRWONPANXX01,30
GLOBAL,PWRCCGCRIXX01,30
GLOBAL,PWRWAVPANXX01,20
GLOBAL,PWRWOFCRIXX01,30
GLOBAL,PWRWONCRIXX01,30
GLOBAL,PWRBIOCRIXX01,30
GLOBAL,PWRWAVCRIXX01,20
GLOBAL,PWRCOAPANXX01,30
GLOBAL,PWROTHCRIXX01,30
GLOBAL,PWRWOFPANXX01,30
GLOBAL,PWRURNCRIXX01,60
GLOBAL,PWROCGPANXX01,30
GLOBAL,PWRBIOPANXX01,30
GLOBAL,PWRCCGPANXX00,30
GLOBAL,PWRCCGCRIXX00,30
GLOBAL,PWRCOGPANXX01,30
GLOBAL,PWRSPVPANXX01,30
GLOBAL,PWRCCGPANXX01,30
GLOBAL,PWROILPANXX01,30
GLOBAL,PWROCGPANXX00,30
GLOBAL,PWRWASCRIXX01,30
GLOBAL,PWROILCRIXX01,30
GLOBAL,PWRURNPANXX01,60
GLOBAL,PWRPETPANXX01,30
GLOBAL,PWRGEOPANXX01,30
GLOBAL,PWRCSPCRIXX01,30
GLOBAL,PWRCCSPANXX01,30
GLOBAL,PWRSPVCRIXX01,30
GLOBAL,PWRPETCRIXX01,30
GLOBAL,PWRCOACRIXX01,30
GLOBAL,PWRGEOCRIXX01,30
GLOBAL,PWROCGCRIXX00,30
GLOBAL,PWRCOGCRIXX01,30
GLOBAL,PWRCCSCRIXX01,30
GLOBAL,PWRCSPPANXX01,30
GLOBAL,PWROCGCRIXX01,30
GLOBAL,PWRHYDCRIXX01,100
GLOBAL,TRNCRIXXPANXX,60
