REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBCKARGXX,2021,0.0
GLOBAL,PWRBCKARGXX,2022,0.0
GLOBAL,PWRBCKARGXX,2023,0.0
GLOBAL,PWRBCKARGXX,2024,0.0
GLOBAL,PWRBCKARGXX,2025,0.0
GLOBAL,PWRBCKARGXX,2026,0.0
GLOBAL,PWRBCKARGXX,2027,0.0
GLOBAL,PWRBCKARGXX,2028,0.0
GLOBAL,PWRBCKARGXX,2029,0.0
GLOBAL,PWRBCKARGXX,2030,0.0
GLOBAL,PWRBCKARGXX,2031,0.0
GLOBAL,PWRBCKARGXX,2032,0.0
GLOBAL,PWRBCKARGXX,2033,0.0
GLOBAL,PWRBCKARGXX,2034,0.0
GLOBAL,PWRBCKARGXX,2035,0.0
GLOBAL,PWRBCKARGXX,2036,0.0
GLOBAL,PWRBCKARGXX,2037,0.0
GLOBAL,PWRBCKARGXX,2038,0.0
GLOBAL,PWRBCKARGXX,2039,0.0
GLOBAL,PWRBCKARGXX,2040,0.0
GLOBAL,PWRBCKARGXX,2041,0.0
GLOBAL,PWRBCKARGXX,2042,0.0
GLOBAL,PWRBCKARGXX,2043,0.0
GLOBAL,PWRBCKARGXX,2044,0.0
GLOBAL,PWRBCKARGXX,2045,0.0
GLOBAL,PWRBCKARGXX,2046,0.0
GLOBAL,PWRBCKARGXX,2047,0.0
GLOBAL,PWRBCKARGXX,2048,0.0
GLOBAL,PWRBCKARGXX,2049,0.0
GLOBAL,PWRBCKARGXX,2050,0.0
GLOBAL,PWRBCKBOLXX,2021,0.0
GLOBAL,PWRBCKBOLXX,2022,0.0
GLOBAL,PWRBCKBOLXX,2023,0.0
GLOBAL,PWRBCKBOLXX,2024,0.0
GLOBAL,PWRBCKBOLXX,2025,0.0
GLOBAL,PWRBCKBOLXX,2026,0.0
GLOBAL,PWRBCKBOLXX,2027,0.0
GLOBAL,PWRBCKBOLXX,2028,0.0
GLOBAL,PWRBCKBOLXX,2029,0.0
GLOBAL,PWRBCKBOLXX,2030,0.0
GLOBAL,PWRBCKBOLXX,2031,0.0
GLOBAL,PWRBCKBOLXX,2032,0.0
GLOBAL,PWRBCKBOLXX,2033,0.0
GLOBAL,PWRBCKBOLXX,2034,0.0
GLOBAL,PWRBCKBOLXX,2035,0.0
GLOBAL,PWRBCKBOLXX,2036,0.0
GLOBAL,PWRBCKBOLXX,2037,0.0
GLOBAL,PWRBCKBOLXX,2038,0.0
