REGION,FUEL,YEAR,VALUE
GLOBAL,ELCARGXX02,2021,555.91
GLOBAL,ELCARGXX02,2022,555.91
GLOBAL,ELCARGXX02,2023,555.91
GLOBAL,ELCARGXX02,2024,555.91
GLOBAL,ELCARGXX02,2025,555.91
GLOBAL,ELCARGXX02,2026,567.9
GLOBAL,ELCARGXX02,2027,579.88
GLOBAL,ELCARGXX02,2028,591.87
GLOBAL,ELCARGXX02,2029,603.85
GLOBAL,ELCARGXX02,2030,615.83
GLOBAL,ELCARGXX02,2031,630.22
GLOBAL,ELCARGXX02,2032,644.61
GLOBAL,ELCARGXX02,2033,659.0
GLOBAL,ELCARGXX02,2034,673.38
GLOBAL,ELCARGXX02,2035,687.77
GLOBAL,ELCARGXX02,2036,703.0
GLOBAL,ELCARGXX02,2037,718.23
GLOBAL,ELCARGXX02,2038,733.46
GLOBAL,ELCARGXX02,2039,748.7
GLOBAL,ELCARGXX02,2040,763.93
GLOBAL,ELCARGXX02,2041,778.81
GLOBAL,ELCARGXX02,2042,793.69
GLOBAL,ELCARGXX02,2043,808.58
GLOBAL,ELCARGXX02,2044,823.46
GLOBAL,ELCARGXX02,2045,838.34
GLOBAL,ELCARGXX02,2046,853.52
GLOBAL,ELCARGXX02,2047,868.7
GLOBAL,ELCARGXX02,2048,883.88
GLOBAL,ELCARGXX02,2049,899.06
GLOBAL,ELCARGXX02,2050,914.23
GLOBAL,ELCBOLXX02,2021,44.33
GLOBAL,ELCBOLXX02,2022,46.41
GLOBAL,ELCBOLXX02,2023,48.49
GLOBAL,ELCBOLXX02,2024,50.57
GLOBAL,ELCBOLXX02,2025,52.65
GLOBAL,ELCBOLXX02,2026,55.07
GLOBAL,ELCBOLXX02,2027,57.49
GLOBAL,ELCBOLXX02,2028,59.92
GLOBAL,ELCBOLXX02,2029,62.34
GLOBAL,ELCBOLXX02,2030,64.76
GLOBAL,ELCBOLXX02,2031,67.46
GLOBAL,ELCBOLXX02,2032,70.16
GLOBAL,ELCBOLXX02,2033,72.85
GLOBAL,ELCBOLXX02,2034,75.55
GLOBAL,ELCBOLXX02,2035,78.25
GLOBAL,ELCBOLXX02,2036,81.34
GLOBAL,ELCBOLXX02,2037,84.43
GLOBAL,ELCBOLXX02,2038,87.52
GLOBAL,ELCBOLXX02,2039,90.61
GLOBAL,ELCBOLXX02,2040,93.7
GLOBAL,ELCBOLXX02,2041,97.23
GLOBAL,ELCBOLXX02,2042,100.76
GLOBAL,ELCBOLXX02,2043,104.29
GLOBAL,ELCBOLXX02,2044,107.82
GLOBAL,ELCBOLXX02,2045,111.35
GLOBAL,ELCBOLXX02,2046,115.41
GLOBAL,ELCBOLXX02,2047,119.46
GLOBAL,ELCBOLXX02,2048,123.52
GLOBAL,ELCBOLXX02,2049,127.58
GLOBAL,ELCBOLXX02,2050,131.63
GLOBAL,ELCBRACN02,2021,187.59
GLOBAL,ELCBRACN02,2022,187.59
GLOBAL,ELCBRACN02,2023,187.59
GLOBAL,ELCBRACN02,2024,187.59
GLOBAL,ELCBRACN02,2025,187.59
GLOBAL,ELCBRACN02,2026,187.59
GLOBAL,ELCBRACN02,2027,187.59
GLOBAL,ELCBRACN02,2028,187.59
GLOBAL,ELCBRACN02,2029,187.59
GLOBAL,ELCBRACN02,2030,187.59
GLOBAL,ELCBRACN02,2031,189.41
GLOBAL,ELCBRACN02,2032,191.23
GLOBAL,ELCBRACN02,2033,193.05
GLOBAL,ELCBRACN02,2034,194.87
GLOBAL,ELCBRACN02,2035,196.69
GLOBAL,ELCBRACN02,2036,200.09
GLOBAL,ELCBRACN02,2037,203.5
GLOBAL,ELCBRACN02,2038,206.9
GLOBAL,ELCBRACN02,2039,210.3
GLOBAL,ELCBRACN02,2040,213.71
GLOBAL,ELCBRACN02,2041,217.01
GLOBAL,ELCBRACN02,2042,220.31
GLOBAL,ELCBRACN02,2043,223.61
GLOBAL,ELCBRACN02,2044,226.91
GLOBAL,ELCBRACN02,2045,230.21
GLOBAL,ELCBRACN02,2046,233.53
GLOBAL,ELCBRACN02,2047,236.85
GLOBAL,ELCBRACN02,2048,240.17
GLOBAL,ELCBRACN02,2049,243.5
GLOBAL,ELCBRACN02,2050,246.82
GLOBAL,ELCBRACW02,2021,195.81
GLOBAL,ELCBRACW02,2022,195.81
GLOBAL,ELCBRACW02,2023,195.81
GLOBAL,ELCBRACW02,2024,195.81
GLOBAL,ELCBRACW02,2025,195.81
GLOBAL,ELCBRACW02,2026,195.81
GLOBAL,ELCBRACW02,2027,195.81
GLOBAL,ELCBRACW02,2028,195.81
GLOBAL,ELCBRACW02,2029,195.81
GLOBAL,ELCBRACW02,2030,195.81
GLOBAL,ELCBRACW02,2031,197.71
GLOBAL,ELCBRACW02,2032,199.61
GLOBAL,ELCBRACW02,2033,201.51
GLOBAL,ELCBRACW02,2034,203.41
GLOBAL,ELCBRACW02,2035,205.31
GLOBAL,ELCBRACW02,2036,208.86
