REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOACRI,2021,0.0
GLOBAL,MINCOACRI,2022,0.0
GLOBAL,MINCOACRI,2023,0.0
GLOBAL,MINCOACRI,2024,0.0
GLOBAL,MINCOACRI,2025,0.0
GLOBAL,MINCOACRI,2026,0.0
GLOBAL,MINCOACRI,2027,0.0
GLOBAL,MINCOACRI,2028,0.0
GLOBAL,MINCOACRI,2029,0.0
GLOBAL,MINCOACRI,2030,0.0
GLOBAL,MINCOACRI,2031,0.0
GLOBAL,MINCOACRI,2032,0.0
GLOBAL,MINCOACRI,2033,0.0
GLOBAL,MINCOACRI,2034,0.0
GLOBAL,MINCOACRI,2035,0.0
GLOBAL,MINCOACRI,2036,0.0
GLOBAL,MINCOACRI,2037,0.0
GLOBAL,MINCOACRI,2038,0.0
GLOBAL,MINCOACRI,2039,0.0
GLOBAL,MINCOACRI,2040,0.0
GLOBAL,MINCOACRI,2041,0.0
GLOBAL,MINCOACRI,2042,0.0
GLOBAL,MINCOACRI,2043,0.0
GLOBAL,MINCOACRI,2044,0.0
GLOBAL,MINCOACRI,2045,0.0
GLOBAL,MINCOACRI,2046,0.0
GLOBAL,MINCOACRI,2047,0.0
GLOBAL,MINCOACRI,2048,0.0
GLOBAL,MINCOACRI,2049,0.0
GLOBAL,MINCOACRI,2050,0.0
GLOBAL,MINCOGCRI,2021,0.0
GLOBAL,MINCOGCRI,2022,0.0
GLOBAL,MINCOGCRI,2023,0.0
GLOBAL,MINCOGCRI,2024,0.0
GLOBAL,MINCOGCRI,2025,0.0
GLOBAL,MINCOGCRI,2026,0.0
GLOBAL,MINCOGCRI,2027,0.0
GLOBAL,MINCOGCRI,2028,0.0
GLOBAL,MINCOGCRI,2029,0.0
GLOBAL,MINCOGCRI,2030,0.0
GLOBAL,MINCOGCRI,2031,0.0
GLOBAL,MINCOGCRI,2032,0.0
GLOBAL,MINCOGCRI,2033,0.0
GLOBAL,MINCOGCRI,2034,0.0
GLOBAL,MINCOGCRI,2035,0.0
GLOBAL,MINCOGCRI,2036,0.0
GLOBAL,MINCOGCRI,2037,0.0
GLOBAL,MINCOGCRI,2038,0.0
GLOBAL,MINCOGCRI,2039,0.0
GLOBAL,MINCOGCRI,2040,0.0
GLOBAL,MINCOGCRI,2041,0.0
GLOBAL,MINCOGCRI,2042,0.0
GLOBAL,MINCOGCRI,2043,0.0
GLOBAL,MINCOGCRI,2044,0.0
GLOBAL,MINCOGCRI,2045,0.0
GLOBAL,MINCOGCRI,2046,0.0
GLOBAL,MINCOGCRI,2047,0.0
GLOBAL,MINCOGCRI,2048,0.0
GLOBAL,MINCOGCRI,2049,0.0
GLOBAL,MINCOGCRI,2050,0.0
GLOBAL,MINGASCRI,2021,0.0
GLOBAL,MINGASCRI,2022,0.0
GLOBAL,MINGASCRI,2023,0.0
GLOBAL,MINGASCRI,2024,0.0
GLOBAL,MINGASCRI,2025,0.0
GLOBAL,MINGASCRI,2026,0.0
GLOBAL,MINGASCRI,2027,0.0
GLOBAL,MINGASCRI,2028,0.0
GLOBAL,MINGASCRI,2029,0.0
GLOBAL,MINGASCRI,2030,0.0
GLOBAL,MINGASCRI,2031,0.0
GLOBAL,MINGASCRI,2032,0.0
GLOBAL,MINGASCRI,2033,0.0
GLOBAL,MINGASCRI,2034,0.0
GLOBAL,MINGASCRI,2035,0.0
GLOBAL,MINGASCRI,2036,0.0
GLOBAL,MINGASCRI,2037,0.0
GLOBAL,MINGASCRI,2038,0.0
GLOBAL,MINGASCRI,2039,0.0
GLOBAL,MINGASCRI,2040,0.0
GLOBAL,MINGASCRI,2041,0.0
GLOBAL,MINGASCRI,2042,0.0
GLOBAL,MINGASCRI,2043,0.0
GLOBAL,MINGASCRI,2044,0.0
GLOBAL,MINGASCRI,2045,0.0
GLOBAL,MINGASCRI,2046,0.0
GLOBAL,MINGASCRI,2047,0.0
GLOBAL,MINGASCRI,2048,0.0
GLOBAL,MINGASCRI,2049,0.0
GLOBAL,MINGASCRI,2050,0.0
GLOBAL,MINOILCRI,2021,0.0
GLOBAL,MINOILCRI,2022,0.0
GLOBAL,MINOILCRI,2023,0.0
GLOBAL,MINOILCRI,2024,0.0
GLOBAL,MINOILCRI,2025,0.0
GLOBAL,MINOILCRI,2026,0.0
GLOBAL,MINOILCRI,2027,0.0
GLOBAL,MINOILCRI,2028,0.0
GLOBAL,MINOILCRI,2029,0.0
GLOBAL,MINOILCRI,2030,0.0
GLOBAL,MINOILCRI,2031,0.0
GLOBAL,MINOILCRI,2032,0.0
GLOBAL,MINOILCRI,2033,0.0
GLOBAL,MINOILCRI,2034,0.0
GLOBAL,MINOILCRI,2035,0.0
GLOBAL,MINOILCRI,2036,0.0
GLOBAL,MINOILCRI,2037,0.0
GLOBAL,MINOILCRI,2038,0.0
GLOBAL,MINOILCRI,2039,0.0
GLOBAL,MINOILCRI,2040,0.0
GLOBAL,MINOILCRI,2041,0.0
GLOBAL,MINOILCRI,2042,0.0
GLOBAL,MINOILCRI,2043,0.0
GLOBAL,MINOILCRI,2044,0.0
GLOBAL,MINOILCRI,2045,0.0
GLOBAL,MINOILCRI,2046,0.0
GLOBAL,MINOILCRI,2047,0.0
GLOBAL,MINOILCRI,2048,0.0
GLOBAL,MINOILCRI,2049,0.0
GLOBAL,MINOILCRI,2050,0.0
GLOBAL,MINOTHCRI,2021,0.0
GLOBAL,MINOTHCRI,2022,0.0
GLOBAL,MINOTHCRI,2023,0.0
GLOBAL,MINOTHCRI,2024,0.0
GLOBAL,MINOTHCRI,2025,0.0
GLOBAL,MINOTHCRI,2026,0.0
GLOBAL,MINOTHCRI,2027,0.0
GLOBAL,MINOTHCRI,2028,0.0
GLOBAL,MINOTHCRI,2029,0.0
GLOBAL,MINOTHCRI,2030,0.0
GLOBAL,MINOTHCRI,2031,0.0
GLOBAL,MINOTHCRI,2032,0.0
GLOBAL,MINOTHCRI,2033,0.0
GLOBAL,MINOTHCRI,2034,0.0
GLOBAL,MINOTHCRI,2035,0.0
GLOBAL,MINOTHCRI,2036,0.0
GLOBAL,MINOTHCRI,2037,0.0
GLOBAL,MINOTHCRI,2038,0.0
GLOBAL,MINOTHCRI,2039,0.0
GLOBAL,MINOTHCRI,2040,0.0
GLOBAL,MINOTHCRI,2041,0.0
GLOBAL,MINOTHCRI,2042,0.0
GLOBAL,MINOTHCRI,2043,0.0
GLOBAL,MINOTHCRI,2044,0.0
GLOBAL,MINOTHCRI,2045,0.0
GLOBAL,MINOTHCRI,2046,0.0
GLOBAL,MINOTHCRI,2047,0.0
GLOBAL,MINOTHCRI,2048,0.0
GLOBAL,MINOTHCRI,2049,0.0
GLOBAL,MINOTHCRI,2050,0.0
GLOBAL,MINPETCRI,2021,0.0
GLOBAL,MINPETCRI,2022,0.0
GLOBAL,MINPETCRI,2023,0.0
GLOBAL,MINPETCRI,2024,0.0
GLOBAL,MINPETCRI,2025,0.0
GLOBAL,MINPETCRI,2026,0.0
GLOBAL,MINPETCRI,2027,0.0
GLOBAL,MINPETCRI,2028,0.0
GLOBAL,MINPETCRI,2029,0.0
GLOBAL,MINPETCRI,2030,0.0
GLOBAL,MINPETCRI,2031,0.0
GLOBAL,MINPETCRI,2032,0.0
GLOBAL,MINPETCRI,2033,0.0
GLOBAL,MINPETCRI,2034,0.0
GLOBAL,MINPETCRI,2035,0.0
GLOBAL,MINPETCRI,2036,0.0
GLOBAL,MINPETCRI,2037,0.0
GLOBAL,MINPETCRI,2038,0.0
GLOBAL,MINPETCRI,2039,0.0
GLOBAL,MINPETCRI,2040,0.0
GLOBAL,MINPETCRI,2041,0.0
GLOBAL,MINPETCRI,2042,0.0
GLOBAL,MINPETCRI,2043,0.0
GLOBAL,MINPETCRI,2044,0.0
GLOBAL,MINPETCRI,2045,0.0
GLOBAL,MINPETCRI,2046,0.0
GLOBAL,MINPETCRI,2047,0.0
GLOBAL,MINPETCRI,2048,0.0
GLOBAL,MINPETCRI,2049,0.0
GLOBAL,MINPETCRI,2050,0.0
GLOBAL,MINURNCRI,2021,0.0
GLOBAL,MINURNCRI,2022,0.0
GLOBAL,MINURNCRI,2023,0.0
GLOBAL,MINURNCRI,2024,0.0
GLOBAL,MINURNCRI,2025,0.0
GLOBAL,MINURNCRI,2026,0.0
GLOBAL,MINURNCRI,2027,0.0
GLOBAL,MINURNCRI,2028,0.0
GLOBAL,MINURNCRI,2029,0.0
GLOBAL,MINURNCRI,2030,0.0
GLOBAL,MINURNCRI,2031,0.0
GLOBAL,MINURNCRI,2032,0.0
GLOBAL,MINURNCRI,2033,0.0
GLOBAL,MINURNCRI,2034,0.0
GLOBAL,MINURNCRI,2035,0.0
GLOBAL,MINURNCRI,2036,0.0
GLOBAL,MINURNCRI,2037,0.0
GLOBAL,MINURNCRI,2038,0.0
GLOBAL,MINURNCRI,2039,0.0
GLOBAL,MINURNCRI,2040,0.0
GLOBAL,MINURNCRI,2041,0.0
GLOBAL,MINURNCRI,2042,0.0
GLOBAL,MINURNCRI,2043,0.0
GLOBAL,MINURNCRI,2044,0.0
GLOBAL,MINURNCRI,2045,0.0
GLOBAL,MINURNCRI,2046,0.0
GLOBAL,MINURNCRI,2047,0.0
GLOBAL,MINURNCRI,2048,0.0
GLOBAL,MINURNCRI,2049,0.0
GLOBAL,MINURNCRI,2050,0.0
